fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.0493332791283845, 0.0, 0.0]",1844.3200000000002,19.21938984962406,27,1.0,0.95,0,8.88888888888889
"[0.0, 0.07807448658738902, 0.0]",1599.16,19.246332205513784,23,1.0,0.85,0,10.0
"[0.009467922481384622, 0.04986959046383928, 0.15384615384615385]",2661.52,19.170831996658315,26,1.0,0.9,0,10.0
"[0.009467922481384622, 0.06478651472136239, 0.0]",2661.52,19.18603199665831,24,1.0,0.9,0,10.0
"[0.1930891146331163, 0.0, 0.0]",2906.68,19.14358964076859,26,1.0,0.9,0,15.555555555555554
"[0.0, 0.09503110632483852, 0.0]",1926.0400000000002,19.273359064327487,23,1.0,0.85,0,10.0
"[0.030701528642750546, 0.08415931044235878, 0.25]",2824.96,19.15122042606516,25,1.0,0.85,0,12.777777777777779
"[0.05935128450165828, 0.010951110256483213, 0.0]",2416.3599999999997,19.190724352548038,26,1.0,0.9,0,10.555555555555555
"[0.05569109569436677, 0.07454479170707412, 0.0]",2089.48,19.25539749373434,23,1.0,0.85,0,8.88888888888889
"[0.04908037492795677, 0.0796420297720279, 0.0]",2579.8,19.225962781954888,24,1.0,0.9,0,11.666666666666668
"[0.2926249709883844, 0.0, 0.0]",3151.84,19.13424728487886,25,1.0,0.85,0,9.444444444444445
"[0.0, 0.11049390727649754, 0.0]",1517.44,19.319412990810356,26,1.0,0.9,0,11.11111111111111
"[0.2846589933001202, 0.0, 0.3333333333333333]",3233.56,19.12526649958229,27,1.0,0.95,0,9.444444444444445
"[0.0, 0.09922245818248325, 1.0]",1765.8799999999999,19.4450164578112,37,1.0,1.0,0,12.222222222222221
"[0.0, 0.09937992484764518, 0.3333333333333333]",2252.92,19.241685923141183,27,1.0,0.95,0,11.11111111111111
"[0.09135625810490546, 0.0770278497758644, 0.26666666666666666]",2579.8,19.20576278195489,26,1.0,0.9,0,11.11111111111111
"[0.18842966699263994, 0.013543837053713334, 0.3125]",3315.28,19.07058571428571,26,1.0,0.9,0,9.444444444444445
"[0.2599744096777945, 0.041408326856300796, 0.0]",3070.12,19.145828070175437,22,1.0,0.8,0,12.222222222222221
"[0.13585362087601013, 0.052130552340711844, 0.3125]",3151.84,19.114647284878863,26,1.0,0.9,0,9.444444444444443
"[0.05203850180295447, 0.09855004602680342, 0.2]",2498.08,19.207793567251464,25,1.0,0.85,0,11.666666666666668
"[0.22488699284932748, 0.007207811453589651, 0.16666666666666666]",2906.68,19.142289640768585,27,1.0,0.95,0,10.555555555555557
"[0.19713242893211763, 0.06507839567140873, 0.08333333333333333]",3070.12,19.12427807017544,26,1.0,0.9,0,13.88888888888889
"[0.22199206471891572, 0.09681681303807665, 0.0]",2906.68,19.190039640768592,24,1.0,0.9,0,10.555555555555555
"[0.10405495026054007, 0.10532909268101098, 0.08333333333333333]",2334.6400000000003,19.21805513784461,26,1.0,0.9,0,15.0
"[0.2589009947891994, 0.05855694239623091, 0.0]",2988.4,19.157758855472014,25,1.0,0.85,0,10.555555555555557
"[0.20366577246838372, 0.053022053271790985, 0.13333333333333333]",2988.4,19.181058855472017,24,1.0,0.9,0,12.222222222222223
"[0.022839064526226426, 0.10636073780041397, 0.0]",2334.6400000000003,19.25290513784461,22,1.0,0.8,0,10.555555555555557
"[0.3776598709217171, 0.0, 0.0]",3070.12,19.144928070175432,25,1.0,0.85,0,10.0
"[0.29882958925374187, 0.0, 0.26666666666666666]",3315.28,19.033635714285715,26,1.0,0.9,0,20.0
"[0.0, 0.5182367566729507, 0.45454545454545453]",2211.7599999999998,19.699864369256474,31,1.0,0.9,0,9.444444444444445
"[0.0, 0.3219399581358859, 0.9166666666666666]",1895.3200000000002,19.497298872180448,36,1.0,0.95,0,10.0
"[0.012348011647809383, 0.46212283003325316, 0.7272727272727273]",2256.2,19.639631746031746,34,1.0,0.95,0,13.333333333333332
