fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.32216374813710885, 0.37522350227390244, 0.6666666666666666]",3383.28,19.5351977443609,33,1.0,0.9,0,8.333333333333332
"[0.47972941505216093, 0.22065365768854703, 0.6666666666666666]",3924.6,19.32172205513784,33,1.0,0.9,0,11.666666666666664
"[0.4519490499254843, 0.4295267138410559, 0.6666666666666666]",3829.16,19.610195655806184,33,1.0,0.9,0,10.0
"[0.3975176974664679, 0.06678340796061721, 0.08333333333333333]",3642.16,19.109212573099413,26,1.0,0.9,0,12.777777777777779
"[0.02682563338301052, 0.3570592299853343, 0.5]",2368.6400000000003,19.51011115288221,31,1.0,0.9,0,8.333333333333332
"[0.11207619225037257, 0.14481525838432815, 0.08333333333333333]",2661.52,19.216981996658312,26,1.0,0.9,0,10.0
"[0.6709784836065574, 0.4988383235104921, 0.8333333333333334]",4581.64,19.705921595655802,35,1.0,0.9,0,12.777777777777779
"[0.3002864195230998, 0.8190179467811899, 0.5833333333333334]",3308.12,20.1481201754386,32,1.0,0.85,0,10.555555555555557
"[0.36669849105812224, 0.6750051764151902, 1.0]",3536.28,19.94922481203007,37,1.0,1.0,0,8.333333333333334
"[0.37260152757078985, 1.0, 0.8333333333333334]",3556.56,20.398073642439435,35,1.0,0.9,0,10.0
"[0.17944299552906112, 0.4686527607456997, 0.9166666666666666]",2892.96,19.664232456140354,36,1.0,0.95,0,12.777777777777779
"[0.6076052533532041, 0.0, 0.75]",4363.92,19.016978320802,34,1.0,0.85,0,12.222222222222221
"[0.5807796199701938, 0.638311787569963, 1.0]",4271.76,19.898547744360904,37,1.0,1.0,0,8.333333333333334
"[0.0, 0.5816414284038671, 0.6666666666666666]",2276.48,19.820280576441096,33,1.0,0.9,0,8.88888888888889
"[0.8344471870342771, 0.6785675118564539, 0.5]",5143.24,19.954144736842103,31,1.0,0.8,0,8.88888888888889
"[0.5292124627421758, 0.6926920933955343, 0.9166666666666666]",4094.6,19.973652130325814,36,1.0,0.95,0,11.111111111111112
"[0.20722336065573774, 0.06967696810088267, 0.0]",2988.4,19.11320885547201,25,1.0,0.85,0,11.666666666666668
"[0.34881473546944863, 0.6761851208262746, 0.6666666666666666]",3474.84,19.95085442773601,33,1.0,0.9,0,9.444444444444446
"[0.3647890275707898, 0.12226154328490475, 0.9166666666666666]",3529.72,19.185833166248955,36,1.0,0.95,0,13.888888888888886
"[0.32806678464977646, 0.4790532873457607, 0.5833333333333334]",3403.56,19.678596574770264,32,1.0,0.85,0,8.333333333333334
"[0.7432935916542474, 0.3994631892609338, 0.6666666666666666]",4830.08,19.568675062656645,33,1.0,0.9,0,9.444444444444445
"[0.11494038748137099, 0.8540258779021698, 0.6666666666666666]",2671.3599999999997,20.19646946532999,33,1.0,0.9,0,8.88888888888889
"[0.20418451937406856, 0.5889667137297544, 0.6666666666666666]",2977.96,19.83039749373434,33,1.0,0.9,0,12.777777777777779
"[0.1457595938897169, 0.2936646727008487, 1.0]",2777.2400000000002,19.42255722639933,37,1.0,1.0,0,8.88888888888889
"[0.2656482861400894, 0.3221868867656869, 1.0]",3189.12,19.46194912280702,37,1.0,1.0,0,7.777777777777779
"[0.8315829918032785, 0.19200625996910067, 0.8333333333333334]",5133.4,19.282157268170426,35,1.0,0.9,0,8.88888888888889
"[0.990103390461997, 0.43863669041879755, 0.8333333333333334]",5678.0,19.62277740183793,35,1.0,0.9,0,7.777777777777779
"[0.37468563710879277, 0.23757292877912015, 1.0]",3563.72,19.345089181286546,37,1.0,1.0,0,10.555555555555555
"[0.12483699701937397, 0.9416418542521066, 0.5833333333333334]",2705.3599999999997,20.317475480367584,32,1.0,0.85,0,9.444444444444445
"[0.3805886736214605, 0.6812778786176458, 0.5833333333333334]",3584.0,19.957888011695907,32,1.0,0.85,0,13.88888888888889
"[0.719506799552906, 0.63057018115064, 0.9166666666666666]",4748.36,19.88785584795322,36,1.0,0.95,0,9.444444444444445
"[1.0, 0.3844449313201755, 0.8333333333333334]",5712.0,19.54793341687552,35,1.0,0.9,0,7.777777777777779
