fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
"[0.0, 0.0, 0.0]",209.92,19.333755555555552,6,1.0,0.3,0,44.44444444444445
