fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.2773930338721078, 0.9187161393120266, 1.0]",4912.2,22.24420492898914,36,1.0,0.95,0,18.88888888888889
"[0.19279064473227003, 0.3579482022805435, 0.23076923076923078]",4347.32,21.831285964912286,26,1.0,0.9,0,20.555555555555557
"[0.9484969027449945, 0.16879595500640024, 1.0]",9393.08,21.692004553049284,36,1.0,0.95,0,14.444444444444443
"[1.0, 0.3846998476070422, 0.9230769230769231]",9736.960000000001,21.850984419381785,35,1.0,0.9,0,15.000000000000002
"[0.5578234145289416, 0.8512565043834567, 0.8461538461538461]",6784.6,22.194531328320807,34,1.0,0.95,0,15.555555555555557
"[0.20601238902002128, 0.7875846261925258, 1.0]",4435.6,22.147646825396826,36,1.0,0.95,0,19.444444444444443
"[0.5599681288266375, 0.0, 0.3076923076923077]",6798.92,21.56771240601504,27,1.0,0.95,0,12.222222222222221
"[0.15656414373180289, 0.6228892804856255, 0.6153846153846154]",4105.4400000000005,22.026374143692568,31,1.0,0.8,0,17.22222222222222
"[0.4727297779801344, 0.5389509665016866, 0.8461538461538461]",6216.4400000000005,21.964566541353385,34,1.0,0.85,0,13.88888888888889
"[0.3426989851547428, 0.38087141719997736, 0.9230769230769231]",5348.24,21.84816537176274,35,1.0,0.9,0,15.0
"[0.5023004756712715, 0.49412750497613306, 0.7692307692307693]",6413.88,21.931560985797823,33,1.0,0.9,0,23.888888888888893
"[0.48595152226788535, 0.6606477199600215, 1.0]",6304.719999999999,22.054177401837926,36,1.0,0.95,0,15.0
"[0.44110422832221036, 0.4106122652272681, 0.6923076923076923]",6005.280000000001,21.870064912280704,32,1.0,0.85,0,15.0
"[0.3406441331879559, 0.7709638445682674, 1.0]",5334.5199999999995,22.135408187134505,36,1.0,0.95,0,12.777777777777779
"[0.5104300212075099, 0.7975921641523467, 0.9230769230769231]",6468.16,22.15501583124478,35,1.0,0.9,0,17.77777777777778
"[0.17947903811360993, 0.658914579167633, 0.7692307692307693]",4258.4400000000005,22.052901211361736,33,1.0,0.9,0,17.222222222222225
"[0.6863804651274248, 0.436184657778436, 0.8461538461538461]",7642.960000000001,21.888895029239766,34,1.0,0.95,0,13.88888888888889
"[0.8551838583290396, 0.548246176334707, 0.7692307692307693]",8770.039999999999,21.971411027568923,33,1.0,0.8,0,18.88888888888889
"[0.4803680761074034, 0.9476028970090525, 0.9230769230769231]",6267.4400000000005,22.265475563909778,35,1.0,0.9,0,16.11111111111111
"[0.24576748421418376, 0.7492961810090585, 1.0]",4701.04,22.119453299916458,36,1.0,0.95,0,15.555555555555557
"[0.2702459831538083, 0.9309207361514362, 0.6923076923076923]",4864.4800000000005,22.25319172932331,32,1.0,0.85,0,13.333333333333334
"[0.43239357304609327, 0.994136467932583, 0.9230769230769231]",5947.12,22.299740350877194,35,1.0,0.9,0,16.666666666666668
"[0.9806136998118881, 0.49947963797824324, 0.8461538461538461]",9607.52,21.93550200501253,34,1.0,0.85,0,12.777777777777779
"[0.46205413306813947, 0.09933690006052953, 0.0]",6145.16,21.64085868838763,23,1.0,0.85,0,25.555555555555557
"[0.10711589844358438, 0.4712991952853533, 0.07692307692307693]",3775.28,21.91475146198831,24,1.0,0.9,0,15.555555555555557
"[0.3559207294424939, 0.9488939598296089, 1.0]",5436.5199999999995,22.26642623224728,36,1.0,0.95,0,16.666666666666668
"[0.8658595032410346, 0.6661362827737912, 0.8461538461538461]",8841.32,22.058218880534675,34,1.0,0.85,0,13.333333333333334
"[0.2692634883358694, 0.5127859977290896, 0.9230769230769231]",4857.92,21.945300083542197,35,1.0,0.9,0,15.555555555555557
"[0.0, 0.6654687694291972, 0.6153846153846154]",3060.0800000000004,22.05772736006684,31,1.0,0.9,0,19.444444444444446
"[0.6094163741148558, 0.24434545230935462, 0.9230769230769231]",7129.08,21.7476350877193,35,1.0,0.9,0,27.77777777777778
"[0.4130072728579815, 1.0, 0.8461538461538461]",5817.68,22.304057936507938,34,1.0,0.85,0,16.666666666666668
"[0.49260732557721554, 0.3987019143059693, 1.0]",6349.16,21.861294778613203,36,1.0,0.95,0,17.22222222222222
