fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.06527312954783265, 0.0, 0.0]",4020.44,21.78725910609858,26,1.0,0.9,0,17.77777777777778
"[0.0, 0.20473810209962917, 0.0]",3857.0,21.86437067669173,24,1.0,0.9,0,13.88888888888889
"[0.0, 0.14380030771354574, 0.14285714285714285]",4183.88,21.85509753550543,25,1.0,0.85,0,21.666666666666668
"[0.0, 0.17831495339845216, 0.09090909090909091]",3693.56,21.921532247284876,27,1.0,0.95,0,18.88888888888889
"[0.22343487356850034, 0.0, 0.0]",5327.96,21.702716541353382,26,1.0,0.9,0,16.11111111111111
"[0.0, 0.37960858886340176, 0.0]",3530.12,21.96179381787803,24,1.0,0.9,0,17.222222222222225
"[0.0, 0.2236759458793005, 0.2857142857142857]",3693.56,21.922532247284877,27,1.0,0.95,0,20.0
"[0.0, 0.24299255677745896, 0.07142857142857142]",3693.56,21.943832247284885,24,1.0,0.9,0,15.555555555555557
"[0.08927585857334339, 0.07471684240240745, 0.0]",4183.88,21.804797535505433,23,1.0,0.85,0,18.88888888888889
"[0.13515410436374747, 0.04966275911541628, 0.0]",4592.4800000000005,21.78054360902256,26,1.0,0.9,0,18.333333333333332
"[0.015456663842149906, 0.23484803400122128, 0.0]",3775.28,21.934851461988305,23,1.0,0.85,0,17.22222222222222
"[0.22788357161490116, 0.0, 0.0]",5327.96,21.618216541353384,26,1.0,0.9,0,17.22222222222222
"[0.0, 0.3913271733230008, 0.0]",2794.6400000000003,21.987170885547204,26,1.0,0.9,0,18.88888888888889
"[0.0, 0.247798194714668, 1.0]",3386.96,21.940604218880537,37,1.0,1.0,0,18.333333333333332
"[0.0, 0.2565258336860311, 0.23076923076923078]",4265.6,21.82786675020885,27,1.0,0.95,0,16.11111111111111
"[0.08996591599658287, 0.13230149048302245, 0.14285714285714285]",4592.4800000000005,21.845043609022557,25,1.0,0.85,0,18.88888888888889
"[0.036892170085894814, 0.2753746643636941, 0.0]",3611.84,21.952813032581457,23,1.0,0.85,0,22.77777777777778
"[0.18399377763222532, 0.07044509972640997, 0.0]",4755.92,21.768232038429407,24,1.0,0.8,0,25.555555555555557
"[0.018930513987082998, 0.2460248445353539, 0.15384615384615385]",4347.32,21.81653596491228,26,1.0,0.9,0,20.555555555555554
"[0.1468645414826234, 0.10059091081053986, 0.09090909090909091]",4429.04,21.863005179615705,27,1.0,0.95,0,14.444444444444446
"[0.11422797670870719, 0.12444390624196261, 0.09090909090909091]",4265.6,21.88096675020885,27,1.0,0.95,0,20.0
"[0.11437290204455301, 0.12875966954593132, 0.0]",4510.76,21.854024394319133,26,1.0,0.9,0,16.11111111111111
"[0.2519045647904318, 0.0, 0.0]",5327.96,21.729366541353386,23,1.0,0.85,0,21.11111111111111
"[0.0, 0.47724972528578286, 0.0]",2712.9199999999996,22.023001670843776,23,1.0,0.85,0,20.555555555555557
"[0.0, 0.408120981775691, 0.9285714285714286]",4268.88,21.964712573099415,36,1.0,0.95,0,13.888888888888888
"[0.18968624675631043, 0.18838119648935203, 0.2857142857142857]",5001.08,21.77918968253968,27,1.0,0.95,0,14.444444444444445
"[0.0812755925052736, 0.31135337350815534, 0.0]",3693.56,21.94383224728488,24,1.0,0.9,0,16.666666666666668
"[0.03640524870308205, 0.28981722544946337, 0.6363636363636364]",4204.16,22.003646365914786,33,1.0,0.9,0,20.555555555555557
"[0.20032675140315498, 0.07444114137128877, 0.0]",4510.76,21.799874394319133,23,1.0,0.75,0,17.222222222222225
"[0.0, 0.4519665000703604, 0.5714285714285714]",3485.6800000000003,22.089426441102756,31,1.0,0.9,0,18.88888888888889
"[0.05473932531257371, 0.24653434952444456, 0.2857142857142857]",4429.04,21.838505179615705,27,1.0,0.95,0,16.666666666666668
"[0.06401004314945948, 0.42060162660810285, 0.125]",3121.52,22.0066977443609,23,1.0,0.85,0,13.333333333333336
