fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.6121976866456363, 1.0, 0.5714285714285714]",6919.68,23.089375981620726,31,1.0,0.8,0,17.22222222222222
"[0.44317052830051856, 0.6180717590993601, 0.8571428571428571]",5987.36,22.608282497911443,35,1.0,0.9,0,17.222222222222225
"[0.7407810290438379, 0.0, 0.14285714285714285]",7628.92,21.829732330827063,25,1.0,0.85,0,17.77777777777778
"[0.7566771819137751, 0.7579818044706328, 1.0]",7716.6,22.78451929824562,37,1.0,1.0,0,16.666666666666664
"[1.0, 0.04439692983147421, 0.9285714285714286]",9058.72,21.88565664160401,36,1.0,0.95,0,22.22222222222222
"[0.670974292033794, 0.22303814226013643, 0.8571428571428571]",7243.88,22.110680910609858,35,1.0,0.9,0,13.333333333333334
"[0.6332861960187101, 0.6485507016892768, 0.9285714285714286]",7036.0,22.646675104427736,36,1.0,0.95,0,13.88888888888889
"[0.05180028282388788, 0.5323684752709315, 0.9285714285714286]",3828.6400000000003,22.500326900584795,36,1.0,0.95,0,16.666666666666668
"[0.2141774538598211, 0.4262793753348653, 0.7142857142857143]",4724.280000000001,22.366692439431915,33,1.0,0.9,0,19.444444444444443
"[0.10857536531418845, 0.7122762404890318, 0.7142857142857143]",4141.8,22.726946574770253,33,1.0,0.9,0,16.11111111111111
"[0.5030276659777367, 0.5312794998545676, 0.8571428571428571]",6317.5199999999995,22.498955179615702,35,1.0,0.9,0,16.666666666666668
"[0.8930998223285834, 0.7337892003709086, 0.6428571428571429]",8469.08,22.754045238095237,32,1.0,0.85,0,13.88888888888889
"[0.564182892780739, 0.36916080912806803, 0.9285714285714286]",6654.839999999999,22.294743400167086,36,1.0,0.95,0,13.88888888888889
"[0.35984625983538215, 0.39907720782312756, 0.9285714285714286]",5527.76,22.33242740183793,36,1.0,0.95,0,16.666666666666668
"[0.5913267341092863, 0.5708299435841176, 1.0]",6804.56,22.548774644945702,37,1.0,1.0,0,16.666666666666668
"[0.551151238260996, 0.5337853470579808, 0.8571428571428571]",6582.960000000001,22.50211165413534,35,1.0,0.9,0,22.22222222222222
"[0.6542659269734219, 0.3546383955972177, 0.9285714285714286]",7151.719999999999,22.27645033416875,36,1.0,0.95,0,14.444444444444445
"[0.28576815693099833, 0.45357986533234734, 0.9285714285714286]",5119.16,22.4010813283208,36,1.0,0.95,0,18.88888888888889
"[0.25981362630987354, 0.5516317238279534, 0.9285714285714286]",4976.0,22.52459172932331,36,1.0,0.95,0,13.88888888888889
"[0.8239965190906126, 0.548155982505426, 0.9285714285714286]",8087.92,22.520213533834585,36,1.0,0.95,0,17.77777777777778
"[0.46225751477573535, 0.5892254008664066, 0.6428571428571429]",6092.64,22.571946365914783,32,1.0,0.85,0,15.555555555555555
"[0.5592080931143262, 0.4929145633309365, 0.8571428571428571]",6627.4,22.45062903091061,35,1.0,0.9,0,20.0
"[0.6394503063925452, 0.39788934618332716, 0.9285714285714286]",7070.0,22.330931119465333,36,1.0,0.95,0,18.333333333333336
"[0.644425106058958, 0.3626526895975056, 0.9285714285714286]",7097.44,22.286545488721806,36,1.0,0.95,0,15.555555555555557
"[0.6228507197505349, 0.15170330525046916, 0.8571428571428571]",6978.44,22.02082443609023,35,1.0,0.9,0,16.666666666666668
"[0.4006164110373837, 0.28913247368198713, 0.8571428571428571]",5752.64,22.193936215538844,35,1.0,0.9,0,15.0
"[0.681409768301969, 0.41817322525177253, 1.0]",7301.44,22.356481578947367,37,1.0,1.0,0,17.22222222222222
"[0.5784038580079048, 0.2452951364127495, 0.9285714285714286]",6733.280000000001,22.13871679197995,36,1.0,0.95,0,18.333333333333332
"[0.8462743391711084, 0.4214064598834831, 0.8571428571428571]",8210.8,22.360554302422727,35,1.0,0.9,0,18.333333333333332
"[0.49318684506327287, 0.41517138836224776, 0.7142857142857143]",6263.24,22.35270033416876,33,1.0,0.9,0,16.11111111111111
"[0.0, 0.3748197075667103, 0.0]",3542.9199999999996,22.301871595655808,23,1.0,0.85,0,22.22222222222222
"[0.34811269444142295, 0.37485114423331933, 0.7857142857142857]",5463.04,22.301911194653304,34,1.0,0.95,0,14.444444444444443
