fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.0, 0.0, 0.0]",355.84,22.46967222222222,4,1.0,0.20000000000000004,0,77.77777777777776
"[0.0, 0.0, 0.0]",355.84,22.46967222222222,4,1.0,0.2,0,86.1111111111111
"[0.0, 0.0, 0.0]",355.84,22.46967222222222,4,1.0,0.2,0,81.66666666666666
"[0.0, 0.0, 0.0]",355.84,22.46967222222222,4,1.0,0.20000000000000004,0,81.66666666666666
"[0.0, 0.0, 0.0]",355.8399999999999,22.46967222222222,4,1.0,0.2,0,91.66666666666666
"[0.0, 0.0, 0.0]",355.84,22.46967222222222,4,1.0,0.20000000000000004,0,81.66666666666666
"[0.0, 0.0, 0.0]",355.84,22.46967222222222,4,1.0,0.2,0,86.1111111111111
"[0.0, 0.0, 0.0]",355.84,22.46967222222222,4,1.0,0.2,0,86.1111111111111
"[0.0, 0.0, 0.0]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
"[0.0, 0.0, 0.0]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
"[0.0, 0.0, 0.0]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
"[0.0, 0.0, 0.0]",355.84,22.46967222222222,4,1.0,0.2,0,97.2222222222222
"[0.0, 0.0, 0.0]",355.84,22.46967222222222,4,1.0,0.20000000000000004,0,81.66666666666666
"[0.0, 0.0, 0.0]",355.84,22.46967222222222,4,1.0,0.20000000000000004,0,81.66666666666666
"[0.0, 0.0, 0.0]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
"[0.0, 0.0, 0.0]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
"[0.0, 0.0, 0.0]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
"[0.0, 0.0, 0.0]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
"[0.0, 0.0, 0.0]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
"[0.0, 0.0, 0.0]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
"[0.0, 0.0, 0.0]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
"[0.0, 0.0, 0.0]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
"[0.0, 0.0, 0.0]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
"[0.5, 0.0, 0.0]",355.84,22.46967222222222,4,1.0,0.20000000000000004,0,81.66666666666666
"[0.5, 0.0, 0.0]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
"[0.0, 3.638211652637291e-14, 0.0]",355.84,22.469672222222222,4,1.0,0.2,0,81.66666666666666
"[0.0, 3.638211652637291e-14, 0.0]",355.84,22.469672222222222,4,1.0,0.2,0,84.99999999999999
"[0.0, 0.0, 0.3333333333333333]",355.84,22.46967222222222,4,1.0,0.2,0,88.33333333333331
"[0.0, 0.0, 0.3333333333333333]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
"[1.7389690057760649e-16, 0.0, 0.2]",355.84000000000003,22.469672222222222,5,1.0,0.25,0,83.88888888888887
"[1.7389690057760649e-16, 0.0, 0.2]",355.84000000000003,22.469672222222222,5,1.0,0.25,0,89.99999999999999
"[0.5, 0.0, 0.0]",355.84,22.469672222222215,4,1.0,0.2,0,91.66666666666664
