fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.32588703636918476, 0.0, 0.0]",6239.68,21.97150568086884,23,1.0,0.75,0,17.22222222222222
"[0.0, 0.2748633767426121, 0.0]",4033.2400000000002,22.177736883876356,24,1.0,0.8,0,20.0
"[0.21691293537394218, 0.0, 0.15384615384615385]",6157.96,21.983936466165414,26,1.0,0.9,0,17.77777777777778
"[0.09412577747062888, 0.10981962618348677, 0.35294117647058826]",4523.5599999999995,22.111052172096905,26,1.0,0.9,0,16.11111111111111
"[0.20182756654562925, 0.03010447339693845, 0.1875]",5667.64,21.953971177944858,24,1.0,0.9,0,12.777777777777779
"[0.03239542937485222, 0.205569519108281, 0.09090909090909091]",4768.719999999999,22.16540981620718,27,1.0,0.95,0,19.444444444444443
"[0.055940026391153724, 0.18345957230775706, 0.0]",4932.16,22.139348245614038,26,1.0,0.9,0,16.666666666666668
"[0.0, 0.2635636990308001, 0.14285714285714285]",4360.12,22.205063742690054,25,1.0,0.85,0,18.88888888888889
"[0.0115594505228635, 0.20622683232985511, 0.15384615384615385]",3951.5199999999995,22.279367669172935,26,1.0,0.9,0,13.88888888888889
"[0.18923057119435227, 0.07724644366760257, 0.15384615384615385]",5994.5199999999995,22.054848036758564,26,1.0,0.9,0,13.333333333333334
"[0.10618347865558275, 0.10391849300127286, 0.0]",5504.2,22.07933274853801,24,1.0,0.8,0,16.11111111111111
"[0.19720760848896235, 0.07243341667522242, 0.0]",5912.8,22.008478822055135,26,1.0,0.9,0,19.444444444444443
"[0.1030292204237566, 0.10717115904197205, 0.0]",5259.04,22.049425104427737,26,1.0,0.9,0,17.22222222222222
"[0.3535660798083003, 0.0, 0.0]",6157.96,22.004636466165415,23,1.0,0.75,0,20.555555555555554
"[0.0, 0.3700756573365065, 0.0]",3788.0800000000004,22.241179239766087,23,1.0,0.85,0,17.22222222222222
"[0.3361634909665317, 0.0, 0.23529411764705882]",5994.5199999999995,22.022598036758563,24,1.0,0.8,0,21.11111111111111
"[0.28955373535768225, 0.061323999575181226, 0.6923076923076923]",6586.839999999999,22.04023137009189,33,1.0,0.8,0,17.77777777777778
"[0.053786158554645094, 0.23458522268040982, 0.4117647058823529]",4278.4,22.211544527986632,27,1.0,0.95,0,17.22222222222222
"[0.17569544881716612, 0.15213052555032106, 0.09090909090909091]",5095.6,22.121736675020887,27,1.0,0.95,0,15.0
"[0.0672326981933064, 0.18680966713004094, 0.35294117647058826]",4360.12,22.173063742690058,26,1.0,0.9,0,18.88888888888889
"[0.23248206944152697, 0.12276630545170937, 0.0]",5912.8,22.029928822055137,21,1.0,0.75,0,21.666666666666668
"[0.3263686890538156, 0.03878896860838965, 0.2857142857142857]",5994.5199999999995,22.032448036758563,27,1.0,0.95,0,15.0
"[0.2724837196355981, 0.0906471093033738, 0.23076923076923078]",5994.5199999999995,21.96859803675856,27,1.0,0.95,0,16.11111111111111
"[0.02833800316253773, 0.2764716446699539, 0.14285714285714285]",4523.5599999999995,22.216502172096913,25,1.0,0.85,0,17.22222222222222
"[0.2962041833724607, 0.09645038733284382, 0.15384615384615385]",6076.24,21.966017251461988,26,1.0,0.9,0,19.444444444444443
"[0.0, 0.3307599955752214, 0.07692307692307693]",3461.2,22.241952380952377,25,1.0,0.85,0,25.0
"[0.0, 0.30944699790616936, 0.26666666666666666]",4114.96,22.211456098579784,26,1.0,0.9,0,17.77777777777778
"[0.013446539638661385, 0.2776572796358133, 0.0]",4033.2400000000002,22.246236883876357,20,1.0,0.8,0,21.11111111111111
"[0.06603427638361326, 0.18849830257485634, 0.0]",3624.6400000000003,22.315290810359233,26,1.0,0.9,0,17.222222222222225
"[0.42391794409377825, 0.0, 0.0]",6157.96,22.012636466165414,23,1.0,0.75,0,19.444444444444443
"[0.0, 0.37064374252908533, 0.0]",4033.2400000000002,22.270386883876355,23,1.0,0.85,0,19.444444444444443
"[0.22438080436389124, 0.24298721121920233, 1.0]",5606.2,22.1479007936508,37,1.0,1.0,0,23.333333333333332
