fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[34.971899568348206, 34.18140093580006, 34.9375]",58172.119999999995,53.21306457811195,36,0.32,0.95,34,92.22222222222223
"[40.41535618784364, 40.75458176363409, 40.375]",35944.0,57.470961821219724,27,0.2,0.95,40,158.88888888888889
"[45.0, 46.0, 45.0]",19354.840000000004,59.2940612364244,21,0.1,0.75,45,159.44444444444446
"[35.83793327925167, 35.42584665917713, 35.9375]",52821.56,55.02893964076859,36,0.3,0.95,35,135.55555555555554
"[42.294561788300335, 42.58597488057615, 42.8125]",31119.52,56.21845868838765,34,0.16,0.95,42,134.44444444444443
"[37.70354835802061, 37.42173392861992, 37.9375]",47454.28,54.99838805346699,36,0.26,0.95,37,113.33333333333331
"[37.70420535007862, 37.34571854124233, 37.9375]",47480.520000000004,54.433704636591486,36,0.26,0.95,37,111.11111111111111
"[39.53395427094913, 39.44658655537666, 40.0]",40680.759999999995,55.18300680868839,37,0.22,1.0,39,113.88888888888889
"[37.720230548127674, 37.3286218505058, 37.75]",48120.56,54.30670116959063,33,0.26,0.9,37,91.11111111111111
"[37.714010155334556, 37.34322048218034, 37.75]",47872.12,54.415147702589806,33,0.26,0.9,37,135.0
"[44.1403359072199, 44.68944724638152, 44.5625]",24959.8,56.9871073934837,30,0.12,0.85,44,115.55555555555554
"[35.88059469799397, 35.24224000694559, 35.9375]",54525.44,53.66501010860484,36,0.3,0.95,35,160.55555555555554
"[34.95348476199061, 34.19361424504273, 34.8125]",57436.64,53.30379164578113,34,0.32,0.85,34,111.66666666666666
"[41.354630492042986, 41.71988317878273, 41.9375]",33518.64,57.213201963241445,36,0.18,0.95,41,112.77777777777777
"[39.48492323408347, 39.710744527909945, 39.25]",38722.479999999996,57.14531512113617,25,0.22,0.85,39,114.44444444444446
"[39.53039990385482, 39.537190914020286, 39.875]",40538.8,55.8560649958229,35,0.22,0.9,39,111.1111111111111
"[38.5899307955012, 38.569383865554556, 39.0]",42916.44,56.09521165413535,37,0.24,1.0,38,115.55555555555554
"[34.99668399282917, 34.0996276975271, 34.75]",59162.0,52.60560873015875,33,0.32,0.9,34,137.22222222222223
"[34.97309437250248, 34.18780370049877, 34.9375]",58219.840000000004,53.26062777777777,36,0.32,0.95,34,113.88888888888889
"[36.81330509068694, 36.204228436160356, 36.9375]",51837.92,53.38263959899749,36,0.28,0.95,36,136.66666666666669
"[39.57476389347915, 39.3376069694843, 40.0]",42310.68,54.37344749373433,37,0.22,1.0,39,112.77777777777777
"[35.91572875041312, 35.0, 36.0]",55928.68000000001,51.86552030075188,37,0.3,1.0,35,113.88888888888889
"[34.0, 33.333341409914695, 33.9375]",59294.44,54.34176060985798,36,0.34,0.95,33,92.77777777777777
"[41.40161543931336, 41.46698997358682, 41.5625]",35395.2,55.33457443609022,30,0.18,0.85,41,157.22222222222223
"[42.256843834189624, 42.76105959611733, 43.0]",29613.079999999998,57.51908266499582,37,0.16,1.0,42,135.55555555555554
"[41.33988222215545, 41.73212144876663, 41.8125]",32929.6,57.30411445279866,34,0.18,0.95,41,135.00000000000003
"[34.93000731103967, 34.36329260685787, 34.875]",56498.96,54.564254302422725,35,0.32,0.9,34,115.0
"[42.264602549850274, 42.76850033741142, 42.75]",29922.96,57.57435651629072,33,0.16,0.9,42,181.66666666666666
"[40.43280753938447, 40.664957610318574, 40.75]",36641.0,56.8051851294904,33,0.2,0.9,40,135.55555555555554
"[38.68062274033791, 38.2070365842145, 38.6875]",46538.64,53.403500041771096,32,0.24,0.85,38,158.33333333333334
"[37.75852337028914, 37.0973377758467, 38.0]",49649.96,52.58859795321639,37,0.26,1.0,37,113.88888888888889
"[38.67081793508197, 38.19898075380089, 38.9375]",46147.04,53.343656975772774,36,0.24,0.95,38,136.11111111111111
