fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[49.5, 49.0, 49.0]",5952.76,60.75411002506265,8,0.02,0.3,49,543.3333333333333
"[49.0, 49.00000000000152, 49.666666666666664]",5952.759999999999,60.74476002506266,9,0.02,0.35,49,589.4444444444445
"[49.0, 49.00000000000152, 49.666666666666664]",5952.759999999999,60.74476002506266,9,0.02,0.35,49,589.4444444444445
"[49.0, 49.00000000000152, 49.666666666666664]",5952.759999999999,60.74476002506266,9,0.02,0.35,49,589.4444444444445
"[49.0, 49.00000000000152, 49.666666666666664]",5952.759999999999,60.74476002506266,9,0.02,0.35,49,589.4444444444445
"[50.0, 49.01456713633244, 49.0]",5952.76,60.750260025062644,7,0.02,0.25,49,587.7777777777778
"[50.0, 49.00441516228945, 49.25]",5952.76,60.750260025062666,7,0.02,0.25,49,544.4444444444443
"[49.5, 49.0, 49.333333333333336]",5952.76,60.75411002506265,9,0.02,0.35,49,521.111111111111
"[49.0, 50.0, 49.666666666666664]",5952.759999999999,60.754110025062666,9,0.02,0.35,49,499.4444444444444
"[49.0, 50.0, 49.666666666666664]",5952.759999999999,60.754110025062666,9,0.02,0.35,49,499.4444444444444
"[49.0, 49.41176470588302, 50.0]",5952.759999999999,60.74861002506266,10,0.02,0.4,49,566.1111111111111
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74476002506265,8,0.02,0.3,49,564.4444444444445
"[49.0, 49.41176470588302, 50.0]",5952.759999999999,60.74861002506266,10,0.02,0.4,49,544.4444444444443
"[49.5, 49.194117647057794, 49.0]",5952.76,60.75026002506265,7,0.02,0.25,49,542.7777777777777
"[49.5, 49.194117647057794, 49.0]",5952.76,60.75026002506265,7,0.02,0.25,49,566.1111111111111
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74861002506266,8,0.02,0.3,49,610.5555555555557
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74861002506266,8,0.02,0.3,49,587.2222222222223
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74476002506265,8,0.02,0.3,49,564.4444444444445
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74476002506265,8,0.02,0.3,49,589.4444444444445
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74476002506265,8,0.02,0.3,49,589.4444444444445
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74476002506265,8,0.02,0.3,49,587.7777777777778
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74476002506265,8,0.02,0.3,49,541.1111111111111
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74476002506265,8,0.02,0.3,49,564.4444444444445
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74476002506265,8,0.02,0.3,49,611.1111111111112
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74476002506265,8,0.02,0.3,49,611.1111111111112
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74476002506265,8,0.02,0.3,49,587.7777777777778
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74476002506265,8,0.02,0.3,49,611.1111111111112
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74476002506265,8,0.02,0.3,49,611.1111111111112
"[49.5, 49.0, 49.333333333333336]",5952.76,60.75411002506265,9,0.02,0.35,49,521.6666666666666
"[49.5, 49.0, 49.333333333333336]",5952.76,60.75411002506265,9,0.02,0.35,49,566.1111111111111
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74861002506266,8,0.02,0.3,49,610.5555555555557
"[49.5, 49.0, 49.333333333333336]",5952.76,60.74861002506266,8,0.02,0.29999999999999993,49,610.5555555555557
