fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[27.0, 26.0, 26.692307692307693]",86525.95999999999,48.40036261487051,33,0.48,0.8,26,135.55555555555554
"[27.0, 26.14947768246805, 26.785714285714285]",83673.24,51.025103174603174,34,0.48,0.85,26,112.77777777777777
"[27.0, 26.0, 27.0]",88814.4,46.47982698412699,37,0.48,1.0,26,91.66666666666667
"[28.0, 27.0, 27.692307692307693]",84961.04000000001,47.57031449456976,33,0.46,0.8,27,112.2222222222222
"[27.910104096535296, 27.156286847620876, 28.0]",83954.16,48.20256733500417,37,0.46,1.0,27,92.10526315789474
"[28.0, 27.142063208386116, 27.8]",81420.56,50.17704532163743,34,0.46,0.85,27,105.26315789473685
"[28.0, 27.0, 27.833333333333332]",83542.28,48.301725438596485,35,0.46,0.9,27,92.85714285714285
"[28.0, 27.018107750362653, 27.833333333333332]",82224.04000000001,50.00688028404343,35,0.46,0.9,27,137.593984962406
"[28.0, 27.0, 27.857142857142858]",82094.6,50.02579786967418,35,0.46,0.9,27,91.35338345864662
"[28.0, 27.314632251510563, 27.9]",80516.88,51.415013993316634,36,0.46,0.95,27,121.80451127819549
"[28.0, 27.03733369883368, 27.90909090909091]",81755.2,50.67356161236425,36,0.46,0.95,27,153.75939849624058
"[28.93134138588684, 28.334436028977894, 28.5]",77750.92,51.14812009189641,34,0.44,0.85,28,105.63909774436092
"[29.0, 28.0, 28.6]",80950.8,48.4277052213868,35,0.44,0.9,28,113.33333333333334
"[28.918533273879724, 28.0, 28.857142857142858]",78981.48000000001,49.7941282790309,35,0.44,0.9,28,114.44444444444444
"[28.845991876475072, 28.19761311978741, 28.916666666666668]",80487.92,48.658104302422714,36,0.44,0.95,28,107.51879699248121
"[28.94902933196015, 28.288786998238212, 28.75]",78356.95999999999,50.971160609857975,34,0.44,0.85,28,122.18045112781954
"[28.994582949514157, 28.07386471048062, 28.6]",80659.12,49.0820821637427,35,0.44,0.9,28,122.18045112781954
"[28.949700262064752, 28.038258441086732, 28.785714285714285]",79346.84,50.33835476190476,34,0.44,0.85,28,109.44444444444444
"[28.993178280343905, 28.016695202401003, 28.76923076923077]",78366.2,50.53517418546366,34,0.44,0.85,28,107.89473684210526
"[29.0, 28.0, 28.692307692307693]",79076.92,49.890054678362574,33,0.44,0.8,28,182.77777777777777
"[28.956867886964016, 28.2234959877179, 28.8]",78628.36,50.40768483709273,36,0.44,0.95,28,92.10526315789474
"[28.868189673897646, 28.207763798876407, 28.923076923076923]",78151.76,50.45962673350042,36,0.44,0.95,28,107.51879699248119
"[28.970341444054736, 28.12417830230551, 28.8]",79046.2,49.892244486215546,35,0.44,0.9,28,136.66666666666666
"[29.0, 28.0, 28.727272727272727]",79621.51999999999,49.82972481203007,34,0.44,0.85,28,121.42857142857142
"[29.0, 28.0, 28.833333333333332]",79579.76,49.20507936507936,35,0.44,0.9,28,91.66666666666666
"[29.0, 28.0, 28.833333333333332]",79454.8,49.737290559732664,35,0.44,0.9,28,92.10526315789474
"[29.0, 28.0, 28.833333333333332]",80930.51999999999,48.43715639097745,35,0.44,0.9,28,135.00000000000003
"[29.0, 28.0, 28.833333333333332]",80995.24,48.438522598162066,36,0.44,0.95,28,92.85714285714286
"[29.0, 28.0, 28.846153846153847]",78740.8,50.3992142439432,35,0.44,0.9,28,90.6015037593985
"[29.0, 28.013838118409932, 28.846153846153847]",80005.36,49.06667844611529,35,0.44,0.9,28,135.0
"[29.0, 28.0, 28.916666666666668]",78366.2,50.52292418546366,36,0.44,0.95,28,105.6390977443609
"[29.0, 28.2301549176862, 28.928571428571427]",76520.36,52.406711904761906,36,0.44,0.95,28,111.66666666666666
