fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.0, 0.0, 0.0]",2563.8399999999997,60.20978888888889,4,1.0,0.2,0,535.5555555555554
"[0.3333333333333333, 0.0, 0.0]",2563.84,60.20978888888889,4,1.0,0.19999999999999998,0,491.1111111111111
"[0.3333333333333333, 0.0, 0.0]",2563.84,60.20978888888889,4,1.0,0.19999999999999998,0,491.1111111111111
"[0.3333333333333333, 0.0, 0.0]",2563.8399999999997,60.20978888888887,4,1.0,0.2,0,446.1111111111111
"[0.3333333333333333, 0.0, 0.0]",2563.8399999999997,60.20978888888887,4,1.0,0.2,0,557.7777777777777
"[0.3333333333333333, 0.0, 0.0]",2563.8399999999997,60.20978888888887,4,1.0,0.19999999999999998,0,511.6666666666667
"[0.0, 5.465713351998572e-13, 0.0]",2563.8399999999997,60.20978888888889,4,1.0,0.2,0,556.1111111111111
"[0.0, 5.465713351998572e-13, 0.0]",2563.8399999999997,60.20978888888889,4,1.0,0.2,0,491.6666666666667
"[0.0, 5.465713351998572e-13, 0.0]",2563.8399999999992,60.20978888888889,4,1.0,0.2,0,513.3333333333333
"[0.0, 0.0, 0.3333333333333333]",2563.8399999999997,60.196238888888885,5,1.0,0.25,0,556.1111111111111
"[0.0, 0.0, 0.3333333333333333]",2563.8399999999992,60.196238888888885,5,1.0,0.25,0,534.9999999999999
"[0.0, 0.0, 0.3333333333333333]",2563.8399999999997,60.196238888888885,5,1.0,0.25,0,533.3333333333333
"[0.0, 0.0, 0.3333333333333333]",2563.8399999999992,60.19623888888888,5,1.0,0.25,0,513.3333333333333
"[0.5, 0.0, 0.0]",2563.84,60.20978888888889,4,1.0,0.19999999999999998,0,491.1111111111111
"[0.0, 7.070076972732549e-13, 0.0]",2563.8399999999997,60.20978888888889,4,1.0,0.2,0,535.0
"[0.0, 7.070076972732549e-13, 0.0]",2563.8399999999997,60.20978888888889,4,1.0,0.2,0,556.6666666666665
"[0.0, 0.0, 0.5]",2563.8399999999997,60.20978888888887,5,1.0,0.25,0,467.22222222222223
"[0.0, 0.0, 0.5]",2563.8399999999992,60.19623888888888,5,1.0,0.25,0,513.3333333333333
"[0.3333333333333333, 4.119088323245105e-13, 0.0]",2563.84,60.2298888888889,4,1.0,0.2,0,558.8888888888887
"[0.0, 1.7965682320091478e-13, 0.3333333333333333]",2563.8399999999992,60.196238888888885,5,1.0,0.25,0,557.7777777777777
"[0.3333333333333333, 0.0, 0.25]",2563.84,60.2357888888889,6,1.0,0.3,0,603.3333333333331
"[0.0, 5.465713351998572e-13, 0.25]",2563.8399999999997,60.20978888888889,4,1.0,0.2,0,579.4444444444443
"[0.3333333333333333, 0.0, 0.25]",2563.84,60.22988888888889,5,1.0,0.25,0,579.4444444444445
"[0.0, 5.465713351998572e-13, 0.25]",2563.8399999999997,60.20978888888889,4,1.0,0.2,0,513.3333333333333
"[0.0, 7.070076972732549e-13, 0.0]",2563.8399999999992,60.20978888888889,4,1.0,0.2,0,513.3333333333333
"[0.0, 7.070076972732549e-13, 0.0]",2563.8399999999992,60.20978888888889,4,1.0,0.2,0,513.3333333333333
"[0.0, 7.070076972732549e-13, 0.0]",2563.8399999999992,60.20978888888889,4,1.0,0.2,0,513.3333333333333
"[0.0, 7.070076972732549e-13, 0.0]",2563.8399999999992,60.20978888888889,4,1.0,0.19999999999999998,0,535.0
"[0.0, 7.070076972732549e-13, 0.0]",2563.8399999999997,60.20978888888889,4,1.0,0.2,0,491.6666666666667
"[0.3333333333333333, 0.0, 0.25]",2563.84,60.22988888888889,5,1.0,0.25,0,535.0
"[0.0, 5.465713351998572e-13, 0.25]",2563.8399999999997,60.20978888888889,4,1.0,0.2,0,578.8888888888888
"[0.0, 5.465713351998572e-13, 0.25]",2563.8399999999997,60.20978888888889,4,1.0,0.2,0,490.0
