fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.2737211243192347, 0.8284661787648895, 0.9333333333333333]",39101.92,55.760941436925634,36,1.0,0.95,0,111.66666666666666
"[0.4353660885289052, 0.6202624161344761, 0.8666666666666667]",46353.520000000004,54.26260492898915,35,1.0,0.9,0,157.2222222222222
"[0.5747058487854114, 0.2206593943912203, 1.0]",52604.48,51.38686537176274,37,1.0,1.0,0,111.66666666666667
"[0.4497660343173445, 0.5523007230009954, 0.8]",46999.520000000004,53.77351921470343,34,1.0,0.85,0,133.88888888888889
"[0.5014622855165969, 0.2648237522005469, 1.0]",49318.68,51.70469377610694,37,1.0,1.0,0,133.33333333333331
"[1.0, 0.0, 0.8]",71683.72,49.79889202172096,34,1.0,0.85,0,111.11111111111113
"[0.7842914870017083, 0.14488681319469227, 0.7333333333333333]",62006.759999999995,50.841568671679205,33,1.0,0.9,0,110.55555555555556
"[0.19154246156150687, 0.9525782995686841, 0.0]",35415.28,56.65411319966584,22,1.0,0.8,0,154.44444444444446
"[0.07468623276018867, 0.8727112115086462, 0.8]",30172.96,56.07935041771094,34,1.0,0.95,0,112.22222222222223
"[0.2718995088860593, 0.8179236498433872, 0.8]",39020.2,55.68507222222223,34,1.0,0.85,0,133.88888888888889
"[0.5726720236248275, 0.5300658601514334, 0.8666666666666667]",52513.240000000005,53.61350622389308,35,1.0,0.9,0,111.1111111111111
"[0.4505239262009466, 0.534244147287157, 0.8666666666666667]",47033.520000000004,53.64357522974102,35,1.0,0.9,0,133.33333333333331
"[0.3960814314705241, 0.4867122508971306, 1.0]",44591.159999999996,53.30151236424395,37,1.0,1.0,0,112.22222222222223
"[0.0, 0.9239878956835164, 0.6]",26822.440000000002,56.448362614870504,31,1.0,0.9,0,133.33333333333334
"[0.4886717454339242, 0.6681960329512892, 0.8666666666666667]",48744.88,54.607558771929824,35,1.0,0.9,0,89.44444444444444
"[0.49176929414408155, 0.35237160596374617, 0.9333333333333333]",48883.840000000004,52.33473111946533,36,1.0,0.95,0,90.55555555555554
"[0.1223210751008442, 1.0, 0.26666666666666666]",32309.920000000002,56.99538304093569,26,1.0,0.9,0,113.88888888888889
"[0.29578647778217654, 0.724901004298163, 0.9333333333333333]",40091.8,55.01563558897243,36,1.0,0.95,0,111.66666666666669
"[0.20267812242539673, 0.8624897919275643, 0.7333333333333333]",35914.840000000004,56.00579206349206,33,1.0,0.9,0,132.22222222222223
"[0.5280954979438838, 0.48686275239902627, 1.0]",50513.479999999996,53.30259544695072,37,1.0,1.0,0,112.22222222222223
"[0.7859401247579203, 0.08376393872222478, 0.8666666666666667]",62080.719999999994,50.4016984544695,35,1.0,0.9,0,133.33333333333331
"[0.16741564217516744, 0.7441680813124855, 0.9333333333333333]",34332.92,55.15429093567252,36,1.0,0.95,0,155.0
"[0.2828292014851115, 0.8082057593335921, 0.9333333333333333]",39510.520000000004,55.61513751044278,36,1.0,0.95,0,114.44444444444446
"[0.7777629171526091, 0.15215829537735107, 0.8666666666666667]",61713.880000000005,50.89389782790309,35,1.0,0.9,0,112.22222222222223
"[0.1897208461283315, 0.9518530551836792, 0.3333333333333333]",35333.56,56.64889398496241,27,1.0,0.95,0,134.44444444444446
"[0.44265255026160644, 0.6258591519194799, 1.0]",46680.4,54.302881787802846,37,1.0,1.0,0,109.44444444444446
"[0.4202082508568637, 0.7079829034612292, 1.0]",45673.520000000004,54.89388462823727,37,1.0,1.0,0,178.88888888888889
"[0.05550621827999554, 0.9644348391154948, 0.6]",29312.52,56.73943868003342,31,1.0,0.8,0,225.55555555555554
"[0.6186974602597162, 0.3395081766010808, 0.9333333333333333]",54578.0,52.24215956558061,36,1.0,0.95,0,133.88888888888889
"[0.49489448361705235, 0.6538159217865824, 1.0]",49024.04,54.5040724310777,37,1.0,1.0,0,90.0
"[0.5958742149131722, 0.44073804418106194, 0.8666666666666667]",53554.119999999995,52.97065939849624,35,1.0,0.9,0,131.66666666666669
"[0.08142077087412566, 0.8078996833106858, 0.6666666666666666]",30475.079999999998,55.61293483709274,32,1.0,0.85,0,154.44444444444443
