fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.9584359350522231, 0.0, 0.0]",58542.280000000006,48.46660614035088,30,1.0,0.85,0,89.44444444444444
"[0.0, 0.9701555451513547, 0.0]",26362.840000000004,56.486807518796994,30,1.0,0.85,0,131.66666666666669
"[0.6069478781327714, 0.0, 0.6363636363636364]",47158.759999999995,51.55804039264829,33,1.0,0.9,0,156.66666666666666
"[0.5947119530941837, 0.04299434023858561, 0.9090909090909091]",50644.68,50.4577283625731,36,1.0,0.95,0,111.66666666666667
"[0.028828991735185522, 0.8290773051123418, 0.7142857142857143]",27101.6,56.36617627401837,33,1.0,0.9,0,156.11111111111111
"[0.22555157767333484, 0.7069095270863341, 0.125]",34040.04,55.10797009189641,30,1.0,0.85,0,110.0
"[0.1006364643247928, 0.9456037799789164, 0.18181818181818182]",32908.2,56.37158412698413,28,1.0,0.85,0,134.44444444444446
"[0.5363619007278951, 0.13403967044039278, 0.8461538461538461]",49115.28,52.33133157894737,35,1.0,0.9,0,135.0
"[0.37964098561712567, 0.763130396254128, 0.07142857142857142]",41626.0,55.95857351712616,24,1.0,0.9,0,156.66666666666666
"[0.5904241922882485, 0.3294920606756704, 0.3]",43962.159999999996,54.01500108604845,30,1.0,0.85,0,110.0
"[0.7140852963066591, 0.09234261719702556, 0.5454545454545454]",55723.56,51.00740271512113,32,1.0,0.85,0,112.2222222222222
"[0.16646564666587965, 0.4292748842598243, 0.4166666666666667]",32794.240000000005,53.70380939849623,30,1.0,0.85,0,133.33333333333334
"[0.20175626600880386, 0.2716025943931488, 0.5]",36573.64,53.107942105263156,31,1.0,0.9,0,132.22222222222223
"[0.8486487880028375, 0.0, 0.45454545454545453]",63719.880000000005,49.150902715121134,31,1.0,0.8,0,112.77777777777777
"[0.4882772699175486, 0.4254833096939225, 0.38461538461538464]",41322.36,53.755593776106934,29,1.0,0.8,0,155.0
"[0.39824642011929284, 0.5341031491278618, 0.2857142857142857]",45223.44,52.689669465329985,32,1.0,0.85,0,111.11111111111111
"[0.5452267545114925, 0.22255796777119063, 0.36363636363636365]",45770.72,52.09146152882205,30,1.0,0.85,0,112.22222222222223
"[0.6986519426211044, 0.26281424332995446, 0.2727272727272727]",52036.92,52.06507447786132,29,1.0,0.8,0,110.00000000000001
"[0.33014384852245054, 0.3245301625913527, 0.4]",38298.72,53.9929328320802,31,1.0,0.9,0,111.11111111111111
"[0.2246175349768351, 0.8649821635624436, 0.21428571428571427]",34924.96,56.69984791144528,26,1.0,0.9,0,155.55555555555554
"[0.14209750997909143, 0.6648312956602677, 0.2222222222222222]",34161.72,54.558063074352546,30,1.0,0.85,0,113.88888888888889
"[0.49877146024344043, 0.19308616755532668, 0.6666666666666666]",45770.72,52.173961528822055,33,1.0,0.9,0,133.88888888888889
"[0.016585321016590722, 0.6252538385505584, 0.9]",31476.0,55.330414243943196,36,1.0,0.95,0,133.88888888888889
"[0.8334942899073902, 0.029434806457919686, 0.5833333333333334]",58101.2,51.38804937343358,32,1.0,0.85,0,91.66666666666667
"[0.5247284990393714, 0.144165644076561, 0.6153846153846154]",49981.68,51.20486106934002,32,1.0,0.85,0,111.11111111111111
"[0.7513987303665939, 0.0, 0.625]",53947.48,50.06245296574771,31,1.0,0.9,0,110.55555555555554
"[0.05719814374680919, 0.660758354487152, 0.2857142857142857]",27920.28,55.1540925647452,27,1.0,0.8,0,111.1111111111111
"[0.30497052138805203, 0.5863200442486048, 0.25]",37971.840000000004,54.1254059732665,31,1.0,0.9,0,134.44444444444443
"[0.4331355033447543, 0.5670584401269579, 0.2727272727272727]",41026.2,53.82647710944027,29,1.0,0.8,0,132.22222222222223
"[0.42834972419493605, 0.23513347702756854, 0.6666666666666666]",42730.08,52.57939757727653,33,1.0,0.9,0,133.33333333333334
"[0.8245250976066671, 0.613153837714041, 0.0]",51595.840000000004,54.87326771094403,26,1.0,0.9,0,110.55555555555556
"[0.3035733393360594, 0.8510629056979888, 0.0]",35006.68,56.6852171261487,26,1.0,0.9,0,111.66666666666667
