fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[50.17630558379457, 50.257656987913805, 51.0]",1732.9599999999998,116.74997965747704,37,0.0,1.0,50,7.222222222222222
"[50.37661433035883, 50.304384693161666, 50.72727272727273]",2158.56,117.36817873851297,34,0.0,0.85,50,6.111111111111111
"[50.4599947287172, 50.0, 50.09090909090909]",2335.7200000000003,113.34122435254804,27,0.0,0.95,50,6.111111111111112
"[50.871700741744796, 50.71597297295539, 51.0]",3210.48,122.81341716791981,37,0.0,1.0,50,6.666666666666667
"[50.30769230769231, 50.58926497673514, 50.90909090909091]",2012.1200000000001,121.13709331662487,36,0.0,0.95,50,6.111111111111112
"[50.237226552204525, 50.18457075837006, 51.0]",1862.4,115.78306207184626,37,0.0,1.0,50,7.222222222222222
"[50.59138145261493, 50.15974244733706, 51.0]",2614.88,115.45458801169589,37,0.0,1.0,50,5.0
"[50.206766067999546, 50.15951250110405, 51.0]",1797.6799999999998,115.45154586466165,37,0.0,1.0,50,6.111111111111112
"[50.283689144922626, 50.18329502074858, 50.63636363636363]",1961.1200000000001,115.7661842940685,33,0.0,0.9,50,6.666666666666667
"[50.652302421024885, 50.02665161741628, 50.0]",2744.32,113.69382042606519,26,0.0,0.9,50,5.0
"[50.661847208102714, 50.29851088020554, 50.90909090909091]",2764.6,117.29046925647454,36,0.0,0.95,50,4.511278195488722
"[50.57846680974434, 50.53540409805492, 51.0]",2587.44,120.42452364243942,37,0.0,1.0,50,5.0
"[50.60738356112805, 50.31095812311235, 50.90909090909091]",2648.88,117.45514402673352,36,0.0,0.95,50,6.111111111111111
"[50.59938250687149, 50.144160450860696, 51.0]",2631.88,115.24844101921471,37,0.0,1.0,50,7.777777777777779
"[50.47754057005158, 50.43786705272821, 51.0]",2373.0,119.13412619047617,37,0.0,1.0,50,4.444444444444444
"[50.47754057005158, 50.57709042418941, 50.90909090909091]",2373.0,120.97602619047618,36,0.0,0.95,50,6.666666666666667
"[50.93107797733349, 50.26447296190153, 50.72727272727273]",3336.6400000000003,116.84015375939853,34,0.0,0.85,50,4.887218045112783
"[50.0, 50.316290438879896, 50.63636363636363]",1358.3600000000001,117.5256895989975,33,0.0,0.9,50,5.555555555555555
"[50.76923076923077, 50.41364508126509, 50.72727272727273]",2992.7599999999998,118.81367389306601,34,0.0,0.85,50,7.777777777777779
"[51.0, 50.43515824701538, 51.0]",3483.0800000000004,119.09828918128656,37,0.0,1.0,50,5.0
"[50.267687036409505, 50.034150423955886, 50.0]",1927.1200000000001,113.79302827903089,26,0.0,0.9,50,5.555555555555556
"[50.42307692307692, 50.56365295915502, 50.90909090909091]",2257.2799999999997,120.79825096073516,36,0.0,0.95,50,6.666666666666667
"[50.6393877781543, 50.580853126193695, 50.81818181818182]",2716.88,121.02580605680869,35,0.0,0.9,50,5.0
"[50.03046048420498, 50.30811694889421, 50.90909090909091]",1423.08,117.41755580618212,36,0.0,0.95,50,7.777777777777777
"[50.39261643887195, 50.435501832386905, 50.90909090909091]",2192.56,119.10283475355052,36,0.0,0.95,50,6.666666666666667
"[50.732312963590495, 50.81464653280364, 50.81818181818182]",2914.32,124.11885050125314,35,0.0,0.9,50,4.444444444444445
"[50.44553635302534, 50.14529600239221, 50.63636363636363]",2305.0,115.26346416040101,33,0.0,0.9,50,6.111111111111111
"[50.16830452953801, 50.1557619422462, 50.63636363636363]",1715.9599999999998,115.40192664995826,33,0.0,0.9,50,6.666666666666667
"[50.82369441620543, 50.579076311706245, 51.0]",3108.48,121.00229912280705,37,0.0,1.0,50,5.555555555555555
"[50.7258556421552, 51.0, 50.90909090909091]",2900.6,126.5710433166249,36,0.0,0.95,50,5.555555555555555
"[50.291690199179186, 50.18395663278897, 50.18181818181818]",1978.1200000000001,115.77493730158726,28,0.0,0.75,50,5.555555555555555
"[50.56092096840995, 50.272101036434286, 50.90909090909091]",2550.16,116.94107180451128,36,0.0,0.95,50,5.555555555555555
