fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[49.334207326898, 49.0, 49.0]",1845.4,113.40185906432751,22,0.02,0.8,49,6.666666666666667
"[49.033231033876106, 49.25470598845876, 50.0]",1423.08,117.06725580618213,37,0.02,1.0,49,5.555555555555555
"[49.034949977295696, 49.03144727854584, 49.06666666666667]",1028.2,113.69536691729323,23,0.02,0.85,49,10.555555555555555
"[49.20848775645268, 49.005153732513385, 49.0]",1600.2400000000002,113.63110142021722,23,0.02,0.85,49,7.222222222222221
"[49.18457865209685, 49.00481113629377, 49.06666666666667]",1436.8,113.44676299081036,23,0.02,0.85,49,6.666666666666666
"[49.229588009002825, 49.5561170640183, 49.0]",2063.12,120.68835233918131,32,0.02,0.85,49,8.333333333333332
"[49.37749834546658, 49.0, 49.214285714285715]",2008.8400000000001,113.58354749373434,26,0.02,0.9,49,6.111111111111112
"[49.1546900143616, 49.12540163270231, 49.54545454545455]",1552.52,115.07228822055137,32,0.02,0.85,49,8.88888888888889
"[49.36905866836012, 49.0, 49.75]",2597.88,115.38588500417711,35,0.02,0.9,49,6.111111111111111
"[49.2548059453567, 49.42115856046193, 49.36363636363637]",1783.9599999999998,118.80893868003344,30,0.02,0.85,49,8.333333333333334
"[49.3082555519794, 49.02306323888299, 49.6]",1944.1200000000001,115.61473128654968,35,0.02,0.9,49,6.666666666666667
"[49.35224696866118, 49.02793735621601, 49.07142857142857]",1681.9599999999998,113.61647063492066,24,0.02,0.8,49,9.444444444444445
"[49.4992624042025, 49.04336138576401, 49.214285714285715]",2008.8400000000001,113.78754749373434,26,0.02,0.9,49,6.666666666666667
"[49.16244260242114, 49.52691647300325, 49.55555555555556]",1930.4,119.1219241019215,33,0.02,0.9,49,8.333333333333334
"[49.52989962208656, 49.00824265504698, 49.875]",2516.16,115.28996578947367,36,0.02,0.95,49,7.777777777777778
"[49.16076940797051, 49.431282578349666, 49.92857142857143]",1978.1200000000001,116.75503730158732,36,0.02,0.95,49,5.555555555555556
"[49.389000827546504, 49.02712766226477, 49.285714285714285]",1763.6799999999998,113.60748984962406,27,0.02,0.95,49,7.777777777777779
"[49.310375670840784, 49.50541063865659, 49.6]",2175.56,118.95668174603175,35,0.02,0.9,49,5.555555555555555
"[49.23698101062118, 49.22167281370118, 49.8]",1766.9599999999998,117.42583567251461,36,0.02,0.95,49,5.555555555555555
"[49.19751550175054, 49.27728875444369, 49.857142857142854]",1797.6799999999998,117.25874586466166,36,0.02,0.95,49,6.666666666666666
"[49.17796196024005, 49.373470694992726, 49.8125]",1719.2400000000002,118.79907247284878,34,0.02,0.95,49,5.0
"[49.33078472996798, 49.16833996700524, 49.92857142857143]",1634.24,115.17375743525481,36,0.02,0.95,49,6.111111111111112
"[49.310506965093964, 49.18988760107028, 49.666666666666664]",1780.6799999999998,115.17414285714285,32,0.02,0.85,49,9.444444444444445
"[49.38444581843598, 49.18518567430092, 49.76923076923077]",1780.6799999999998,115.20284285714285,34,0.02,0.95,49,5.555555555555555
"[49.33537357534825, 49.17971732352404, 49.86666666666667]",2352.7200000000003,115.36987736006684,35,0.02,0.9,49,6.666666666666666
"[49.21762266758812, 49.179745923842674, 49.833333333333336]",1896.4,115.31236808688388,35,0.02,0.9,49,8.888888888888888
"[49.79567115397801, 49.59181536382661, 49.55555555555556]",2716.88,120.85475605680867,33,0.02,0.9,49,8.88888888888889
"[49.29753080194308, 49.678892391744384, 49.61538461538461]",2063.12,120.91175233918129,32,0.02,0.85,49,6.111111111111112
"[49.8291092690878, 49.51480049803238, 49.77777777777778]",3271.92,119.02768755221386,35,0.02,0.9,49,6.111111111111112
"[49.61486069526661, 49.074129080463244, 50.0]",2761.32,115.48262343358397,37,0.02,1.0,49,6.111111111111111
"[49.21700114211127, 49.51838526848965, 50.0]",1896.4,117.44571808688389,37,0.02,1.0,49,5.555555555555556
"[49.34894578027442, 49.24495580266471, 49.81818181818182]",1814.6799999999998,115.61779887218047,35,0.02,0.9,49,8.333333333333332
