fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.01342563457100913, 0.0, 0.0]",1434.2400000000002,141.4890074352548,25,1.0,0.85,0,6.666666666666667
"[0.0, 0.02609695722714155, 0.0]",1107.3600000000001,141.5249305764411,23,1.0,0.85,0,6.111111111111112
"[0.0, 0.0, 0.15384615384615385]",1434.24,140.47140743525483,26,1.0,0.9,0,7.777777777777779
"[0.0, 0.0008031360407868845, 0.13333333333333333]",862.2,141.04732293233084,24,1.0,0.9,0,8.333333333333334
"[0.0, 0.012910744125644706, 0.07142857142857142]",862.2,141.30107293233084,24,1.0,0.9,0,10.0
"[0.07639656935372803, 0.0, 0.0]",1679.4,140.9583650793651,27,1.0,0.95,0,9.444444444444445
"[0.0, 0.039999504257323806, 0.0]",617.04,141.57881528822057,20,1.0,0.8,0,7.777777777777777
"[0.0, 0.0, 0.16666666666666666]",1025.6399999999999,141.0258113617377,27,1.0,0.95,0,5.555555555555555
"[0.033059857274624994, 0.0, 0.06666666666666667]",1270.8,140.48606900584795,23,1.0,0.85,0,6.666666666666666
"[0.025161344750495643, 0.025221511103545854, 0.0]",1434.24,141.2306574352548,25,1.0,0.85,0,7.777777777777777
"[0.05839451786588353, 0.00256890534480045, 0.0]",1515.96,140.97982664995817,26,1.0,0.9,0,10.0
"[0.09488437554977805, 0.0, 0.0]",1597.6799999999998,140.46864586466165,22,1.0,0.8,0,7.777777777777779
"[0.0, 0.04327937018921834, 0.0]",862.2,141.04187293233082,24,1.0,0.9,0,8.333333333333334
"[0.02469359634491262, 0.0, 0.26666666666666666]",943.9200000000001,141.03834214703426,26,1.0,0.9,0,8.88888888888889
"[0.0, 0.005602914881429187, 0.21428571428571427]",1352.52,140.74158822055136,26,1.0,0.9,0,12.777777777777777
"[0.05813034418337287, 0.0, 0.09090909090909091]",1352.52,140.99993822055143,26,1.0,0.9,0,9.444444444444445
"[0.04432705195931565, 0.025603828502220673, 0.0]",1107.3600000000001,141.27268057644113,24,1.0,0.9,0,9.444444444444445
"[0.033059857274624994, 0.03728296253016766, 0.0]",1270.8,141.00676900584796,22,1.0,0.8,0,5.555555555555555
"[0.11252362137089844, 0.0, 0.0]",1270.8,140.49806900584798,24,1.0,0.9,0,6.111111111111111
"[0.0, 0.04540966198222873, 0.0]",535.32,141.3361460735171,24,1.0,0.9,0,5.555555555555556
"[0.08397373612460614, 0.0, 0.16666666666666666]",1352.52,140.73983822055138,27,1.0,0.95,0,5.555555555555555
"[0.0, 0.022450501336414075, 0.3125]",698.76,141.32173450292402,26,1.0,0.9,0,6.666666666666667
"[0.016927112031914552, 0.013919172192981591, 0.2857142857142857]",1189.08,141.2664497911445,27,1.0,0.95,0,6.666666666666667
"[0.06937656641604012, 0.03829301420875247, 0.0]",1107.3600000000001,141.26798057644112,23,1.0,0.85,0,6.666666666666667
"[0.03483791756901933, 0.04233677615289258, 0.0]",1515.96,140.96522664995823,24,1.0,0.9,0,6.111111111111111
"[0.102801672843494, 0.001604134907670628, 0.0]",1352.52,141.2428382205514,26,1.0,0.9,0,6.666666666666667
"[0.14870294348851437, 0.0, 0.0]",1107.3600000000001,141.0131305764411,21,1.0,0.75,0,7.777777777777779
"[0.0, 0.045924166774374615, 0.0]",862.2,141.55187293233084,22,1.0,0.8,0,6.666666666666667
"[0.06034498834498837, 0.030013470934911808, 0.35294117647058826]",1107.3600000000001,141.52493057644108,26,1.0,0.9,0,8.333333333333334
"[0.09844289044289037, 0.0065854070414358475, 0.29411764705882354]",1189.08,141.2611497911445,25,1.0,0.85,0,6.666666666666668
"[0.09483006395056408, 0.044443250263709926, 0.09090909090909091]",1434.24,141.4890074352548,26,1.0,0.9,0,7.222222222222223
"[0.10839451786588342, 0.0019266790086044027, 0.0]",1597.6799999999998,140.97084586466167,26,1.0,0.9,0,10.0
