fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.0, 0.0, 0.375]",1352.52,140.73563822055138,27,1.0,0.95,0,6.111111111111112
"[0.33556470657116644, 0.2636469255528126, 0.6875]",2040.28,143.7156979532164,32,1.0,0.85,0,8.333333333333334
"[0.4153086516130292, 0.21223135838922783, 0.9375]",2203.7200000000003,143.13453638262322,36,1.0,0.95,0,6.111111111111112
"[0.40861453189952956, 0.4259573926575931, 1.0]",2190.0,145.55032919799498,37,1.0,1.0,0,6.111111111111112
"[0.32057612365580895, 0.43971086603806253, 1.0]",2009.56,145.70578776106936,37,1.0,1.0,0,6.666666666666667
"[0.5033470598567495, 0.45305573870367283, 0.9375]",2384.16,145.85662781954886,36,1.0,0.95,0,5.555555555555556
"[0.4385916977302445, 0.014527836535766623, 0.375]",2251.44,140.89984958228905,27,1.0,0.95,0,5.0
"[0.5681024219832549, 0.6361653188580991, 0.875]",2516.88,147.92635605680871,35,1.0,0.9,0,7.222222222222222
"[0.2076543258065146, 0.23704294915798382, 1.0]",1778.1200000000001,143.41498730158727,37,1.0,1.0,0,6.111111111111112
"[0.6478463670251176, 0.6415831040997227, 1.0]",2680.32,147.98759448621553,37,1.0,1.0,0,5.0
"[0.14449930716836776, 0.46263504870405453, 0.6875]",1648.6799999999998,145.96490488721804,32,1.0,0.85,0,5.555555555555555
"[0.23923183512558796, 0.06267817153221754, 0.0]",1842.8400000000001,141.44410350877192,21,1.0,0.85,0,6.666666666666666
"[0.5033470598567495, 0.4570369044232173, 0.9375]",2384.16,145.90162781954888,36,1.0,0.95,0,6.111111111111111
"[0.8306173032260582, 0.4462795049215516, 0.875]",3054.92,145.78003454469507,35,1.0,0.9,0,6.111111111111111
"[0.4003200686976716, 0.6093650077632361, 0.875]",2173.0,147.62342619047618,35,1.0,0.9,0,8.333333333333334
"[0.3837311422939557, 0.23426788855034714, 1.0]",2139.0,143.3836201754386,37,1.0,1.0,0,6.111111111111111
"[0.4153086516130292, 0.2604255811830289, 0.75]",2203.7200000000003,143.67928638262322,33,1.0,0.9,0,7.777777777777779
"[0.24083217861394643, 0.3671750502824002, 1.0]",1846.1200000000001,144.88589933166244,37,1.0,1.0,0,6.111111111111112
"[0.4784636702511757, 0.014157961000133957, 0.125]",2333.16,140.89566879699248,23,1.0,0.85,0,6.7669172932330826
"[0.6628349499404749, 0.23140892523548262, 0.875]",2711.04,143.35130467836262,35,1.0,0.9,0,5.0
"[0.33556470657116644, 0.18774378935099234, 0.875]",2040.28,142.8577479532164,35,1.0,0.9,0,6.111111111111112
"[0.2558207615293039, 0.21227321735525814, 0.5625]",1876.8400000000001,143.13500952380952,30,1.0,0.75,0,10.0
"[0.543219032377681, 0.2101753651208106, 0.9375]",2465.88,143.11129703425232,36,1.0,0.95,0,6.666666666666666
"[0.5282304494623234, 0.6497393940302159, 1.0]",2435.16,148.07978684210528,37,1.0,1.0,0,4.444444444444445
"[0.16938269677394163, 0.6307162400944122, 0.875]",1699.6799999999998,147.86476390977444,35,1.0,0.9,0,6.111111111111112
"[0.6162688577060441, 0.8090870061354789, 0.75]",2615.6,149.8809282790309,33,1.0,0.9,0,6.111111111111111
"[0.6960128027479068, 0.6112131991848401, 1.0]",2779.04,147.64431670843777,37,1.0,1.0,0,6.666666666666666
"[0.20925466929487305, 0.45480792094919426, 0.6875]",1781.4,145.87643312447787,32,1.0,0.85,0,7.777777777777779
"[0.28070415113487773, 0.4391960380804642, 0.9375]",1927.8400000000001,145.69996854636594,36,1.0,0.95,0,6.666666666666667
"[0.45678096762231896, 0.651027927343523, 0.625]",2288.7200000000003,148.0943514202172,31,1.0,0.9,0,5.555555555555555
"[0.1460996506567262, 0.8607600981429601, 0.75]",1651.9599999999998,150.4650007101086,33,1.0,0.9,0,7.222222222222223
"[1.0, 1.0, 1.0]",3402.0800000000004,152.03886023391811,37,1.0,1.0,0,4.444444444444445
