fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,26.66666666666667
"[0.0, 0.0, 0.0]",126.71999999999996,140.38074999999998,4,1.0,0.2,0,28.888888888888896
"[0.0, 0.0, 0.0]",126.71999999999996,140.38074999999998,4,1.0,0.2,0,28.888888888888896
"[0.0, 0.0, 0.0]",126.71999999999996,140.38074999999998,4,1.0,0.2,0,28.888888888888896
"[0.0, 0.0, 0.0]",126.71999999999996,140.38074999999998,4,1.0,0.2,0,28.888888888888896
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,28.333333333333343
"[0.0, 0.0, 0.0]",126.71999999999996,140.38074999999998,4,1.0,0.2,0,28.888888888888893
"[0.0, 0.0, 0.0]",126.71999999999996,140.38074999999998,4,1.0,0.2,0,28.888888888888896
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,28.888888888888893
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,26.66666666666667
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,26.66666666666667
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,28.888888888888896
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,28.333333333333343
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,26.66666666666667
"[0.0, 0.0, 0.0]",126.71999999999996,140.38074999999998,4,1.0,0.2,0,28.888888888888896
"[0.0, 0.0, 0.0]",126.71999999999996,140.38074999999998,4,1.0,0.2,0,28.888888888888896
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,27.777777777777782
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,27.222222222222225
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,26.66666666666667
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,26.66666666666667
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,29.44444444444445
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,25.55555555555556
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,26.66666666666667
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,26.66666666666667
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,26.111111111111118
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,28.333333333333343
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,26.111111111111114
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,26.66666666666667
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,26.66666666666667
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,26.66666666666667
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,28.333333333333336
"[0.0, 0.0, 0.0]",126.71999999999998,140.38074999999998,4,1.0,0.2,0,26.66666666666667
