fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.8450574560112133, 0.5726671396449808, 0.5]",22595.96,68.46167418546365,37,1.0,1.0,0,37.77777777777778
"[0.4455028385882119, 0.3380292622738387, 0.5]",18742.0,68.12188780284045,37,1.0,1.0,0,46.66666666666668
"[0.3279740898478484, 0.3574973601210383, 0.5]",17608.36,68.15008015873016,37,1.0,1.0,0,37.22222222222223
"[0.6681609514765221, 1.0, 0.5]",20889.68,69.08050814536341,37,1.0,1.0,0,37.77777777777778
"[0.5121982574510349, 0.6132753259927558, 0.5]",19385.32,68.52048015873017,37,1.0,1.0,0,43.8888888888889
"[0.5619492330213445, 0.6054403486578669, 0.5]",19865.2,68.50913408521303,37,1.0,1.0,0,34.44444444444444
"[0.560929082984644, 0.19795824168369708, 0.5]",19855.36,67.91904661654135,37,1.0,1.0,0,37.22222222222223
"[0.6272844518352335, 0.32691517565811773, 0.5]",20495.4,68.10579314954053,37,1.0,1.0,0,36.66666666666667
"[0.27077104266798246, 0.3385172591318061, 0.5]",17056.6,68.12259448621552,37,1.0,1.0,0,48.333333333333336
"[0.7021120423320796, 0.5308785939506204, 0.5]",21217.16,68.4011588972431,37,1.0,1.0,0,41.66666666666667
"[0.1839463218614836, 0.4074399069858118, 0.5]",16219.12,68.22240350877193,37,1.0,1.0,0,38.88888888888889
"[0.27673850568754377, 0.45680812441214314, 0.5]",17114.16,68.29389515455304,37,1.0,1.0,0,50.00000000000001
"[0.6936398206858227, 0.5557249548405252, 0.5]",21135.44,68.43713968253967,37,1.0,1.0,0,40.0
"[0.5005411771536152, 0.7421798200636431, 0.5]",19272.879999999997,68.70715075187971,37,1.0,1.0,0,41.11111111111111
"[0.3628831264695757, 0.4581196988968893, 0.5]",17945.079999999998,68.29579448621554,37,1.0,1.0,0,41.66666666666666
"[0.4878639468194955, 0.1744018504997898, 0.5]",19150.6,67.88493387635756,37,1.0,1.0,0,41.111111111111114
"[0.5700814046553676, 0.3688756942374044, 0.5]",19943.64,68.16655747702589,37,1.0,1.0,0,32.77777777777778
"[0.23409955171455676, 0.0, 0.5]",16702.879999999997,67.63237715121134,37,1.0,1.0,0,39.44444444444444
"[0.2891378902799609, 0.38139709133335387, 0.5]",17233.760000000002,68.18469010025062,37,1.0,1.0,0,47.77777777777777
"[0.0, 0.7983381973411188, 0.5]",14444.84,68.7884754385965,37,1.0,1.0,0,38.333333333333336
"[0.7875143588191144, 0.4339493743209995, 0.5]",22040.920000000002,68.26079269005848,37,1.0,1.0,0,39.44444444444444
"[0.6028879369331634, 0.714262609575754, 0.5]",20260.079999999998,68.66672297410193,37,1.0,1.0,0,36.66666666666666
"[1.0, 0.7392546368643474, 0.5]",24090.48,68.70291470342524,37,1.0,1.0,0,36.111111111111114
"[0.626264301798533, 0.09980349170147639, 0.5]",20485.56,67.77690568086885,37,1.0,1.0,0,35.55555555555556
"[0.8073036107505567, 0.12006395706782175, 0.5]",22231.8,67.8062454887218,37,1.0,1.0,0,36.111111111111114
"[0.5181657204705958, 0.619697858467425, 0.5]",19442.879999999997,68.52978082706768,37,1.0,1.0,0,43.333333333333336
"[0.39995687170576555, 0.35611722147200314, 0.5]",18302.68,68.14808153717627,37,1.0,1.0,0,37.77777777777777
"[0.477907116583244, 0.9609672318099801, 0.5]",19054.56,69.02398358395989,37,1.0,1.0,0,32.77777777777778
"[0.3378065115430392, 0.8292450880713552, 0.5]",17703.2,68.83323266499583,37,1.0,1.0,0,33.888888888888886
"[0.8718965252694482, 0.1979875191875911, 0.5]",22854.84,67.91908901420217,37,1.0,1.0,0,30.555555555555554
"[0.2997126162701492, 0.604283036331574, 0.5]",17335.760000000002,68.50745814536342,37,1.0,1.0,0,38.33333333333333
"[0.3568534591794844, 0.6704108796242966, 0.5]",17886.920000000002,68.60321992481204,37,1.0,1.0,0,36.666666666666664
