fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.33092609403447565, 0.18399645334961373, 0.0]",14551.320000000002,67.45728709273182,27,1.0,0.95,0,37.22222222222222
"[0.0, 0.3518056955164453, 0.0]",10792.2,68.01515321637427,27,1.0,0.95,0,45.0
"[0.12722826386103966, 0.0, 0.5]",16342.0,67.53324427736007,37,1.0,1.0,0,39.44444444444445
"[0.0, 0.18268714026932711, 0.5]",12940.48,68.02314745196324,37,1.0,1.0,0,38.333333333333336
"[0.06682568529456294, 0.06360182843477637, 0.5]",16451.16,67.48857786131997,37,1.0,1.0,0,39.444444444444436
"[0.019941112526906137, 0.2726151097060968, 0.0]",11037.36,68.04276086048455,27,1.0,0.95,0,48.88888888888888
"[0.12574720097655873, 0.00913594036007789, 0.5]",15388.8,67.59107807017543,37,1.0,1.0,0,47.77777777777777
"[0.018966010619694156, 0.3143032865602196, 0.0]",10383.6,68.00005714285716,27,1.0,0.95,0,37.77777777777777
"[0.7643677288053219, 0.25098513155478647, 0.0]",21087.72,67.86157648287384,36,1.0,0.95,0,46.111111111111114
"[0.0, 0.8717087859428444, 0.0]",11707.52,68.88869369256477,34,1.0,0.95,0,35.55555555555556
"[0.1579693213041691, 0.0, 0.5]",17125.2,67.37693040935673,37,1.0,1.0,0,34.44444444444444
"[0.0, 0.22362345560368696, 0.5]",12531.880000000001,67.94685137844611,37,1.0,1.0,0,41.111111111111114
"[0.17278979242169404, 0.30896538573720256, 0.0]",15307.079999999998,67.758108855472,36,1.0,0.95,0,43.33333333333334
"[0.16683384640217674, 0.6380010194891251, 0.0]",14952.16,68.46124373433584,34,1.0,0.95,0,53.88888888888888
"[0.07913341131140773, 0.07161661558306809, 0.5]",14673.6,67.74230396825398,37,1.0,1.0,0,35.55555555555556
"[0.014433916176174766, 0.7140263351811634, 0.0]",10199.28,68.74234598997494,34,1.0,0.95,0,58.88888888888889
"[0.8543411131931151, 0.27362067464444845, 0.0]",23730.2,67.92990572263993,36,1.0,0.95,0,37.21804511278195
"[0.24406946623371878, 0.880926638678832, 0.0]",14580.84,68.92324949874687,34,1.0,0.95,0,52.77777777777777
"[0.0, 0.26873534260514487, 0.5]",13315.079999999998,67.92588751044278,37,1.0,1.0,0,40.0
"[0.287829949704468, 0.0, 1.0]",15879.12,67.388843358396,37,1.0,1.0,0,41.66666666666667
"[0.15491006294369356, 0.08001338948118521, 1.0]",15797.4,67.47672414369256,37,1.0,1.0,0,42.77777777777778
"[0.35564895001981084, 0.0, 0.5]",17482.8,67.55581746031747,37,1.0,1.0,0,35.55555555555556
"[0.28503462835272303, 0.6644570864529892, 0.0]",16038.079999999998,68.44878817878029,36,1.0,0.95,0,46.11111111111112
"[0.3054765788860404, 0.3467781613152863, 0.0]",14046.679999999998,68.11864072681705,34,1.0,0.95,0,50.55555555555555
"[0.29253932887718603, 0.5575571777636327, 0.0]",18401.4,68.2679037593985,34,1.0,0.95,0,36.11111111111111
"[0.12561517936554997, 0.15584970071689827, 0.5]",15633.960000000001,67.6567857142857,37,1.0,1.0,0,45.0
"[0.04190194933039085, 0.2495346651666628, 0.5]",16266.84,67.81496670843778,37,1.0,1.0,0,46.66666666666667
"[0.15620367625259413, 0.09881232541436362, 0.5]",15964.12,67.57400839598998,37,1.0,1.0,0,37.222222222222214
"[0.2316626758043652, 0.004223705610649124, 0.5]",16451.16,67.44027786131997,37,1.0,1.0,0,41.11111111111111
"[0.22701261331429418, 0.08898997153521862, 0.5]",17635.8,67.53314452798662,37,1.0,1.0,0,33.888888888888886
"[0.6477357414515186, 0.35750248001373164, 0.0]",21431.6,68.06455634920636,36,1.0,0.95,0,35.0
"[0.3002463351191192, 0.7952930272314086, 0.0]",19442.879999999997,68.91693082706766,36,1.0,0.95,0,35.55555555555556
