fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.3333333333333333, 0.0, 0.0]",684.7999999999997,59.19371111111112,6,1.0,0.3,0,172.2222222222223
"[0.25, 0.06317494600455768, 0.0]",684.7999999999996,59.165261111111114,5,1.0,0.25,0,168.88888888888897
"[0.0, 0.0670487106019761, 0.0]",684.7999999999996,59.165261111111114,5,1.0,0.25,0,172.22222222222229
"[0.0, 0.06117604090577697, 0.25]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,165.00000000000009
"[0.0, 0.06117604090577697, 0.25]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,165.00000000000009
"[0.0, 0.0, 0.3333333333333333]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,165.00000000000009
"[0.0, 0.0, 0.3333333333333333]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,165.00000000000009
"[0.0, 0.0, 0.3333333333333333]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,165.00000000000009
"[0.0, 0.0, 0.3333333333333333]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,163.88888888888897
"[0.0, 0.0, 0.3333333333333333]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,163.88888888888897
"[0.0, 0.0, 0.3333333333333333]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,165.00000000000009
"[0.0, 0.0, 0.3333333333333333]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,165.00000000000009
"[0.75, 0.0, 0.0]",684.7999999999998,59.19751111111111,6,1.0,0.3,0,168.88888888888897
"[0.6666666666666666, 1.3121749506186666e-13, 0.0]",684.7999999999998,59.165261111111114,5,1.0,0.25,0,183.88888888888894
"[0.3333333333333333, 0.029938587512843864, 0.0]",684.7999999999997,59.165261111111114,5,1.0,0.25,0,178.88888888888897
"[0.25, 0.06778679026645602, 0.0]",684.7999999999996,59.1652611111111,5,1.0,0.25,0,176.1111111111112
"[0.0, 0.14767216294861996, 0.0]",684.7999999999997,59.27321111111111,5,1.0,0.25,0,166.66666666666674
"[0.0, 0.14011327259295137, 0.2]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,163.88888888888897
"[0.3333333333333333, 0.0, 0.25]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,165.00000000000009
"[0.3333333333333333, 0.0, 0.25]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,165.00000000000009
"[0.3333333333333333, 0.0, 0.25]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,163.88888888888897
"[0.3333333333333333, 0.0, 0.25]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,165.00000000000009
"[0.3333333333333333, 0.0, 0.25]",684.7999999999997,59.16526111111112,6,1.0,0.29999999999999993,0,176.66666666666677
"[0.3333333333333333, 0.0, 0.25]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,165.00000000000009
"[0.3333333333333333, 0.0, 0.25]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,165.00000000000009
"[0.25, 0.0, 0.3333333333333333]",684.7999999999997,59.24726111111111,7,1.0,0.35,0,182.77777777777786
"[0.0, 9.990056038804537e-14, 0.3333333333333333]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,165.00000000000009
"[0.0, 9.990056038804537e-14, 0.3333333333333333]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,163.88888888888897
"[0.0, 0.0, 0.4]",684.7999999999996,59.130961111111105,7,1.0,0.35,0,166.6666666666667
"[1.0, 0.06704871060181324, 0.0]",684.7999999999998,59.1652611111111,5,1.0,0.25,0,171.11111111111117
"[0.0, 0.1692444973230862, 0.0]",684.7999999999996,59.193711111111114,5,1.0,0.25,0,162.2222222222223
"[0.0, 1.6287512567563276e-13, 0.3333333333333333]",684.7999999999996,59.159411111111105,6,1.0,0.3,0,165.00000000000009
