fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.7165422911571446, 0.34864537588795513, 0.5]",13303.079999999998,59.547602297410194,37,1.0,1.0,0,25.0
"[0.45791787732463735, 0.422764445839582, 0.5]",11818.4,59.71694924812031,37,1.0,1.0,0,26.666666666666664
"[0.40575680929785335, 0.3808077496048004, 0.5]",11518.960000000001,59.62108675856306,37,1.0,1.0,0,26.666666666666668
"[0.7034497655330032, 0.5402477950982298, 0.5]",13227.920000000002,59.98537472848788,37,1.0,1.0,0,26.111111111111114
"[0.23732380136151102, 0.2248754913683831, 0.5]",10552.039999999999,59.26481336675022,37,1.0,1.0,0,24.444444444444443
"[0.308500038322986, 0.16710056114467822, 0.5]",10960.64,59.13280944026734,37,1.0,1.0,0,32.22222222222222
"[0.41942069580607166, 0.047046387332340886, 0.5]",11597.4,58.85851015037595,37,1.0,1.0,0,27.77777777777778
"[0.5355881184807375, 0.4033744917434373, 0.5]",12264.28,59.67264715956558,37,1.0,1.0,0,23.888888888888886
"[0.3351519332204546, 0.44385484555518523, 0.5]",11113.64,59.76513650793652,37,1.0,1.0,0,23.333333333333332
"[0.21477594988746987, 0.23006964695154083, 0.5]",10422.6,59.27668095238096,37,1.0,1.0,0,27.222222222222218
"[0.9988572782318469, 0.42058926635637806, 0.5]",14923.76,59.71197940685047,37,1.0,1.0,0,24.444444444444443
"[0.7984210929715643, 0.0, 0.5]",13773.12,58.75101875522139,37,1.0,1.0,0,22.777777777777775
"[0.4863883721092274, 0.6387086441802248, 0.5]",11981.84,60.210337677527136,37,1.0,1.0,0,24.444444444444446
"[0.5320554359413866, 0.5061850599148748, 0.5]",12244.0,59.907548329156214,37,1.0,1.0,0,30.0
"[0.7722360417232799, 0.6039247676538195, 0.5]",13622.8,60.13086361737678,37,1.0,1.0,0,20.555555555555554
"[0.6886431572566318, 0.4649172003773803, 0.5]",13142.920000000002,59.8132596908939,37,1.0,1.0,0,22.777777777777775
"[0.29722611258596543, 0.2953762581695193, 0.5]",10895.92,59.42589323308272,37,1.0,1.0,0,27.77777777777778
"[0.0, 0.7193239462163302, 0.5]",9189.64,60.39452719298246,37,1.0,1.0,0,23.88888888888889
"[0.3878843621313155, 0.5488788030059218, 0.5]",11416.36,60.00509482038429,37,1.0,1.0,0,22.22222222222222
"[0.22355539761840063, 0.7581409307083604, 0.5]",10473.0,60.48321608187134,37,1.0,1.0,0,23.333333333333336
"[1.0, 0.5404869079801167, 0.5]",14930.320000000002,59.98592105263158,37,1.0,1.0,0,26.11111111111111
"[0.3488158197286732, 0.32188482525372086, 0.5]",11192.08,59.48645989974939,37,1.0,1.0,0,25.555555555555554
"[0.22604987562449044, 0.3030591877968473, 0.5]",10487.32,59.44344715956557,37,1.0,1.0,0,21.111111111111114
"[0.3138513207494583, 0.2279638484138783, 0.5]",10991.36,59.27186963241437,37,1.0,1.0,0,25.0
"[0.2070347066897998, 0.7023799309718999, 0.5]",10378.16,60.35581357560568,37,1.0,1.0,0,26.11111111111111
"[0.5344453967125844, 0.4917886691134977, 0.5]",12257.72,59.87465551378447,37,1.0,1.0,0,25.000000000000004
"[0.42762878265292614, 0.6381229373680201, 0.5]",11644.52,60.208999456975775,37,1.0,1.0,0,26.11111111111111
"[0.6560686190486144, 0.12927099822543647, 0.5]",12955.92,59.04637660818713,37,1.0,1.0,0,21.666666666666668
"[0.6869290746044018, 0.12366682776330588, 0.5]",13133.079999999998,59.03357222222221,37,1.0,1.0,0,24.444444444444443
"[0.2573771748294627, 1.0, 0.5]",10667.16,61.03581470342523,37,1.0,1.0,0,26.666666666666664
"[0.5368353574837821, 0.09532314838116406, 0.5]",12271.439999999999,58.968812698412705,37,1.0,1.0,0,22.22222222222222
"[0.5278468752830674, 0.8581120905392974, 0.5]",12219.84,60.711629782790304,37,1.0,1.0,0,27.77777777777778
