fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.0, 0.0, 0.0]",8284.76,58.501948078529665,27,1.0,0.95,0,25.555555555555554
"[0.0, 0.0, 0.0]",6977.24,58.640340643274854,27,1.0,0.95,0,26.666666666666664
"[0.1561460761460762, 0.0, 0.0]",9101.960000000001,58.46759022556394,27,1.0,0.95,0,27.22222222222222
"[0.0, 0.5328239974549298, 0.0]",6728.2,59.78916328320802,34,1.0,0.95,0,25.0
"[0.0, 0.0, 0.5]",8894.08,58.83623441938179,37,1.0,1.0,0,27.22222222222222
"[0.10525193509179688, 0.12562141744895208, 0.0]",9976.72,58.89473304093567,36,1.0,0.95,0,34.44444444444444
"[0.529185984646956, 0.0486717739460935, 0.0]",13082.08,58.560063199665834,36,1.0,0.95,0,25.555555555555557
"[0.1803709187889104, 0.2871455493763501, 0.0]",9356.960000000001,59.21223533834588,34,1.0,0.95,0,26.666666666666668
"[0.012341834204182434, 0.0, 0.5]",9251.68,58.51507147034251,37,1.0,1.0,0,23.88888888888889
"[0.0, 0.012147101844242498, 0.5]",9220.960000000001,58.9556112781955,37,1.0,1.0,0,28.33333333333333
"[0.22640537905866473, 0.0839961996581594, 0.0]",9224.24,58.990457101086044,36,1.0,0.95,0,27.22222222222222
"[0.6711059106095366, 0.10337940036501658, 0.0]",12196.880000000001,58.51055902255639,36,1.0,0.95,0,27.22222222222222
"[0.3039491710084892, 0.30984233023863617, 0.0]",10620.039999999999,59.09842539682539,36,1.0,0.95,0,28.333333333333332
"[0.05881905217547316, 0.0, 0.5]",9023.52,58.489116833751055,37,1.0,1.0,0,28.88888888888889
"[0.0, 0.14274421077973296, 0.5]",9568.119999999999,59.132736967418545,37,1.0,1.0,0,30.555555555555557
"[0.0, 0.07335196506914395, 1.0]",9384.4,58.82144970760233,37,1.0,1.0,0,25.555555555555557
"[0.4599756653681378, 0.13999275054409202, 0.0]",13201.079999999998,58.874284252297414,36,1.0,0.95,0,21.11111111111111
"[0.017482373653857224, 0.11155343880423245, 0.5]",8979.08,59.01889945697576,37,1.0,1.0,0,27.222222222222225
"[0.9710200707935565, 0.2807516366737681, 0.0]",15070.2,59.40291482873852,36,1.0,0.95,0,24.444444444444446
"[0.31328213956148915, 0.5036111869880303, 0.0]",11079.64,59.57568049289891,34,1.0,0.95,0,23.88888888888889
"[0.14261299269502714, 0.0, 0.5]",8679.64,58.635186967418555,37,1.0,1.0,0,26.11111111111111
"[0.0, 0.1552591586297348, 0.5]",9537.4,59.04237677527151,37,1.0,1.0,0,28.333333333333332
"[0.5248217604793741, 0.3252801713933526, 0.0]",11972.0,59.04705020885547,36,1.0,0.95,0,22.777777777777775
"[0.11693888831522249, 0.07776905983255578, 0.5]",8618.2,58.92151658312448,37,1.0,1.0,0,28.88888888888889
"[0.061129625904521694, 0.08265684821530624, 0.5]",9040.52,58.722419841269826,37,1.0,1.0,0,28.333333333333332
"[0.0194933047932616, 0.147389648611805, 0.5]",9847.28,59.05610062656641,37,1.0,1.0,0,25.0
"[1.0, 0.3074922912698871, 0.0]",14134.0,59.22180162907267,36,1.0,0.95,0,27.777777777777775
"[0.40793817350090805, 0.7914298514648411, 0.0]",11702.68,59.86547401837929,36,1.0,0.95,0,24.999999999999996
"[0.14407894736842122, 0.0, 0.5]",9595.560000000001,58.50430133667502,37,1.0,1.0,0,28.888888888888886
"[0.0, 0.1576619633050985, 0.5]",7981.44,59.174015873015904,37,1.0,1.0,0,42.22222222222222
"[0.6158785059733236, 0.45807569279400384, 0.0]",11866.119999999999,59.554612447786134,36,1.0,0.95,0,28.333333333333336
"[0.42162817091500254, 0.5131987707974608, 0.0]",12901.039999999999,59.81499786967419,36,1.0,0.95,0,26.666666666666664
