fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[1.0, 0.0, 0.0]",35995.200000000004,284.59612562656645,8,1.0,0.75,0,572.2222222222218
"[0.0, 0.6870020611619513, 0.0]",6576.000000000001,287.09558333333337,5,1.0,0.6250000000000001,0,653.3333333333328
"[0.7673627413448131, 0.0, 0.125]",27823.2,285.79757915622383,7,1.0,0.6250000000000002,0,647.2222222222216
"[0.6546466656233931, 0.07850769750139015, 0.4117647058823529]",24145.800000000003,285.12308949456985,11,1.0,0.8750000000000001,0,562.222222222222
"[0.43396226415094336, 0.23181940646092897, 0.3]",19855.5,285.4977057226399,11,1.0,0.8750000000000001,0,618.8888888888885
"[0.1388888888888889, 0.6256149376887867, 0.1875]",10662.0,287.57016906850464,8,1.0,0.7500000000000001,0,527.7777777777777
"[0.7670560142372804, 0.014150675680027331, 0.375]",27006.0,285.0756370091897,11,1.0,0.875,0,526.6666666666666
"[0.6993006993006993, 0.043485217410423604, 0.1875]",27006.0,285.5415120091896,8,1.0,0.75,0,544.4444444444442
"[0.40740740740740744, 0.23208497264449923, 0.07142857142857142]",19446.9,285.52898464912283,8,1.0,0.75,0,470.5555555555555
"[0.9714285714285713, 0.05639989787611553, 0.0]",31909.2,284.67016489139513,8,1.0,0.75,0,571.1111111111109
"[0.303448275862069, 0.40509979278553654, 0.375]",15565.2,286.34044695071015,11,1.0,0.8750000000000001,0,585.5555555555552
"[0.3676286610340868, 0.4164975213735086, 0.125]",19446.9,285.77398464912284,7,1.0,0.6250000000000001,0,609.9999999999997
"[0.7769093312264169, 0.07964262556049873, 0.0]",31500.6,285.689568817878,8,1.0,0.75,0,496.66666666666663
"[0.018867924528301903, 0.6449962060824403, 0.0]",10866.300000000001,286.7655921052632,8,1.0,0.7500000000000001,0,587.7777777777775
"[0.018518518518518535, 0.6334869928010533, 0.07142857142857142]",10866.300000000001,286.6240921052632,8,1.0,0.7500000000000001,0,594.9999999999997
"[0.14583333333333326, 0.5722573953086303, 0.1875]",10866.3,286.76559210526324,8,1.0,0.7500000000000001,0,574.4444444444441
"[0.2075471698113208, 0.492268640195781, 0.0]",14952.300000000001,286.2969278404345,8,1.0,0.75,0,586.6666666666664
"[0.5526776789160621, 0.18003151644169882, 0.125]",23328.600000000002,285.6547723475356,7,1.0,0.6250000000000001,0,621.1111111111106
"[0.3375046462644034, 0.34338352293404606, 0.1875]",15565.2,285.8219469507101,8,1.0,0.7500000000000001,0,619.444444444444
"[0.5981883063409279, 0.26553144459392153, 0.0]",27210.300000000003,285.70443504594823,8,1.0,0.75,0,541.6666666666665
"[0.4869807037457435, 0.11715813045924124, 0.1875]",19446.9,285.65573464912285,8,1.0,0.7500000000000001,0,538.3333333333331
"[0.21698113207547176, 0.43199678831442995, 0.0]",15156.600000000002,286.11197587719295,8,1.0,0.7500000000000001,0,571.6666666666663
"[0.6377952755905513, 0.08474580243099444, 0.1875]",23124.300000000003,285.72772431077686,8,1.0,0.7500000000000001,0,571.1111111111107
"[0.15094976051193584, 0.516920822724047, 0.0]",15360.900000000001,286.07714891395153,8,1.0,0.7500000000000001,0,551.6666666666664
"[0.3440000000000001, 0.2790399061170627, 0.375]",15360.900000000001,286.0835239139515,11,1.0,0.8750000000000001,0,642.2222222222217
"[0.26425564114006334, 0.4318393488561572, 0.1875]",14748.000000000004,286.2830048036758,8,1.0,0.7500000000000001,0,628.8888888888883
"[0.6854838709677418, 0.13428447223853177, 0.0]",28027.5,284.9802521929825,8,1.0,0.7500000000000001,0,582.2222222222218
"[0.16978373784115597, 0.5131352299954229, 0.1875]",11070.600000000002,286.4631401420218,8,1.0,0.7500000000000001,0,620.5555555555551
"[0.4726654213295401, 0.16221260905224222, 0.1875]",23124.3,284.99122431077694,8,1.0,0.75,0,473.8888888888889
"[0.4601113515030237, 0.3159988825820828, 0.0]",22920.0,286.34842627401844,8,1.0,0.7500000000000001,0,574.9999999999997
"[0.46248780297412284, 0.197238976411104, 0.375]",24350.100000000002,285.2365125313283,11,1.0,0.8750000000000001,0,620.5555555555551
"[0.38095238095238093, 0.3202873540652789, 0.0]",19242.600000000002,285.4456866123643,8,1.0,0.7500000000000001,0,574.9999999999997
