fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.7302735108423911, 0.0, 0.5]",195814.4,271.04199843358396,21,1.0,1.0,0,182.22222222222223
"[0.20494829755244368, 0.9657929224942577, 0.5]",159861.3,278.04160432330826,21,1.0,1.0,0,189.99999999999997
"[0.0, 0.785304501905739, 0.5]",145834.7,276.7335104427736,21,1.0,1.0,0,238.8888888888889
"[0.32898303177833926, 0.6074218604505384, 0.5]",168350.2,275.4443020050125,21,1.0,1.0,0,201.66666666666669
"[0.3026182172043417, 0.6619523063184944, 0.5]",166545.8,275.8395126357561,21,1.0,1.0,0,182.77777777777777
"[0.22142119267033614, 0.6239400365477957, 0.5]",160988.7,275.56401785714286,21,1.0,1.0,0,218.33333333333337
"[0.28360732148153783, 0.5533456792302613, 0.5]",165244.7,275.0523836675021,21,1.0,0.9999999999999999,0,184.44444444444449
"[0.6741876425524951, 0.4210281147123823, 0.5]",191975.9,274.0934091478697,21,1.0,1.0,0,183.33333333333334
"[1.0, 0.23047330941241506, 0.5]",214274.4,272.7123589181287,21,1.0,1.0,0,162.22222222222223
"[0.5154873560228931, 0.2524953396700649, 0.5]",181114.5,272.87196407685883,21,1.0,1.0,0,205.0
"[0.45345318579713223, 0.5378168943309118, 0.5]",176868.9,274.93983845029237,21,1.0,1.0,0,178.33333333333334
"[0.31113812597074486, 0.4914706470357088, 0.5]",167128.9,274.60394298245615,21,1.0,1.0,0,175.55555555555557
"[0.4282865062237268, 0.6462134130329326, 0.5]",175146.5,275.7254446532999,21,1.0,1.0,0,181.11111111111111
"[0.1956116113892957, 0.9121990885745472, 0.5]",159222.3,277.6531818086884,21,1.0,1.0,0,211.11111111111111
"[0.8311447887702605, 0.6977139870414962, 0.5]",202718.0,276.098696219716,21,1.0,1.0,0,168.33333333333334
"[0.6333443892945178, 0.3586865416155284, 0.5]",189180.6,273.64158719715954,21,1.0,1.0,0,216.11111111111111
"[0.26803887217506805, 0.6411953642730001, 0.5]",164179.2,275.68907623224726,21,1.0,1.0,0,195.0
"[0.30071142918510724, 0.68016307822763, 0.5]",166415.3,275.9714956140351,21,1.0,1.0,0,201.66666666666669
"[0.5682929644636081, 0.34691710034000817, 0.5]",184728.5,273.55628790726814,21,1.0,1.0,0,161.66666666666669
"[0.36533766220483116, 0.9190069633884511, 0.5]",170838.3,277.7025220342523,21,1.0,1.0,0,174.44444444444446
"[0.46597077427282707, 0.7349470460442411, 0.5]",177725.6,276.36854365079364,21,1.0,1.0,0,203.8888888888889
"[0.3933038864869364, 0.8834807648596623, 0.5]",172752.3,277.445045112782,21,1.0,1.0,0,181.66666666666666
"[0.5590220296114682, 0.24772895413010584, 0.5]",184094.0,272.83741959064326,21,1.0,1.0,0,174.44444444444446
"[0.3835756147382293, 0.7423440081755314, 0.5]",172086.5,276.4221532999165,21,1.0,0.9999999999999999,0,173.88888888888889
"[0.5302273388106609, 0.4029359124034519, 0.5]",182123.3,273.96228550543026,21,1.0,1.0,0,180.0
"[0.6503506006016976, 0.38615208219038466, 0.5]",190344.5,273.8406443191311,21,1.0,1.0,0,196.66666666666666
"[0.5167833874198748, 0.46157718893221233, 0.5]",181203.2,274.38728947368423,21,1.0,1.0,0,160.0
"[0.016668687910671564, 0.9411540615923604, 0.5]",146975.5,277.86303362573096,21,1.0,1.0,0,213.88888888888886
"[0.6562989025375623, 0.39107256930698125, 0.5]",190751.6,273.87630565998325,21,1.0,1.0,0,215.0
"[0.5522993233459526, 0.6202408062271795, 0.5]",183633.9,275.5372076023392,21,1.0,1.0,0,187.7777777777778
"[0.32257739294590687, 0.4001013799619638, 0.5]",167911.8,273.94174216791976,21,1.0,1.0,0,206.66666666666666
"[0.0647898807271216, 1.0, 0.5]",150268.9,278.2895208855472,21,1.0,1.0,0,205.0
