fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.5456783246000384, 0.0, 0.5]",183544.5,271.16931631161236,21,1.0,1.0,0,180.0
"[0.0, 0.669486378693261, 0.5]",146930.8,275.8774004803676,21,1.0,1.0,0,217.7777777777778
"[0.3984443118718738, 0.06907858690750415, 0.5]",168995.2,272.7677134502924,21,1.0,1.0,0,173.33333333333334
"[0.32578137967786747, 0.22382489824321616, 0.5]",164177.0,273.83520060568094,21,1.0,1.0,0,183.33333333333337
"[0.14685023627177624, 0.359764430560568, 0.5]",144361.4,274.96197577276524,21,1.0,1.0,0,195.00000000000003
"[0.4877832687284024, 0.01897492071767115, 0.5]",182632.6,271.5744348370927,21,1.0,1.0,0,160.55555555555557
"[0.2381447961335388, 0.2595538706577275, 0.5]",158177.0,273.9875917919799,21,1.0,1.0,0,207.22222222222223
"[0.2374379904252883, 0.35155283742518345, 0.5]",156738.7,274.0848909774436,21,1.0,1.0,0,183.88888888888889
"[0.12890197496509612, 0.4987618465427502, 0.5]",156081.8,274.2323046157059,21,1.0,1.0,0,238.88888888888886
"[0.030745490060518358, 0.5423185020961351, 0.5]",157041.4,275.43456370091894,21,1.0,1.0,0,208.88888888888894
"[0.028076020442044453, 0.6469180417769871, 0.5]",151297.9,275.52018473266503,21,1.0,1.0,0,169.44444444444443
"[0.08403952341967282, 0.5373144434836327, 0.5]",151294.9,274.967565267335,21,1.0,1.0,0,216.66666666666666
"[0.09945659168066881, 0.5237284488810316, 0.5]",135587.7,274.9952692147034,21,1.0,1.0,0,215.55555555555554
"[0.11663109094668316, 0.5159944534589166, 0.5]",149812.6,275.44729720133665,21,1.0,1.0,0,283.3333333333333
"[0.021016797604467074, 0.6508540463043395, 0.5]",137135.6,275.7964537385129,21,1.0,1.0,0,203.33333333333334
"[0.5914606623781663, 0.0, 0.5]",182423.8,272.60020760233914,21,1.0,1.0,0,200.55555555555554
"[0.0, 0.6761965317147233, 0.5]",143575.5,276.1905571219716,21,1.0,1.0,0,217.2222222222222
"[0.28656597676044676, 0.29760087443169825, 0.5]",163913.8,273.6991659356725,21,1.0,1.0,0,174.44444444444446
"[0.37118279049508784, 0.22833752248168496, 0.5]",166599.5,273.9001291771094,21,1.0,1.0,0,215.00000000000003
"[0.5599016285226245, 0.06671346186756165, 0.5]",186459.1,271.77279626148703,21,1.0,1.0,0,161.66666666666666
"[0.08446634054628066, 0.5555804565003348, 0.5]",143804.4,276.21107383040936,21,1.0,1.0,0,241.11111111111111
"[0.1586205314120506, 0.5052116269306466, 0.5]",154362.4,275.0549052840434,21,1.0,0.9999999999999999,0,228.33333333333331
"[0.187020041051324, 0.38473226893631196, 0.5]",166489.9,273.90827046783625,21,1.0,1.0,0,214.99999999999997
"[0.2770599028216561, 0.36321198420067463, 0.5]",158896.5,274.2618501461988,21,1.0,1.0,0,205.55555555555554
"[0.47529092631930975, 0.08950381990677501, 0.5]",175941.4,271.99284670008353,21,1.0,1.0,0,170.0
"[0.05804647858626998, 0.6017898601868019, 0.5]",136211.0,277.4784035087719,21,1.0,1.0,0,206.66666666666666
"[0.42414500025637175, 0.22313971586311848, 0.5]",164286.6,273.391059314954,21,1.0,1.0,0,218.33333333333331
"[0.1838773508811635, 0.4601617187671032, 0.5]",152370.1,275.34517199248114,21,1.0,1.0,0,213.33333333333331
"[0.03395140769478041, 0.6682632106746781, 0.5]",146934.5,276.726835839599,21,1.0,1.0,0,244.44444444444443
"[0.4524402404005952, 0.15321372188230306, 0.5]",169975.7,273.2748808479532,21,1.0,1.0,0,183.33333333333337
"[0.590416912909785, 0.00491906226625463, 0.5]",185115.5,271.62940977443606,21,1.0,1.0,0,253.8888888888889
"[0.4533103288849027, 0.11819221409256674, 0.5]",179158.0,272.27505847953216,21,1.0,0.9999999999999999,0,175.5555555555556
