fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.6064414910678178, 0.0, 0.5]",185335.9,264.2365048036758,21,1.0,1.0,0,158.33333333333334
"[0.0, 0.48938513622274865, 0.5]",146914.1,268.0969892439432,21,1.0,1.0,0,171.11111111111114
"[0.3850613730886902, 0.11331188020084623, 0.5]",168977.0,265.503492481203,21,1.0,1.0,0,180.55555555555557
"[0.03680116445683997, 0.38036172216431785, 0.5]",149022.7,267.34513606934,21,1.0,1.0,0,212.7777777777778
"[0.5144999908437422, 0.012985797433158336, 0.5]",184559.7,264.3333854427736,21,1.0,1.0,0,168.88888888888889
"[0.31085632525925255, 0.242972633104913, 0.5]",160591.0,266.22534868421053,21,1.0,1.0,0,161.66666666666666
"[0.2490546469478747, 0.3751126188670706, 0.5]",148400.1,267.38456766917295,21,1.0,1.0,0,182.22222222222223
"[0.30737205286815494, 0.33125739733728066, 0.5]",155926.4,266.87851180033414,21,1.0,1.0,0,194.44444444444443
"[0.2569589036792438, 0.3512947062873761, 0.5]",161637.1,267.14468253968255,21,1.0,1.0,0,246.66666666666666
"[0.29970269948864314, 0.3398791972971699, 0.5]",154754.3,266.47859012113616,21,1.0,1.0,0,250.55555555555551
"[0.628645058197161, 0.0, 0.5]",193284.2,264.468404657477,21,1.0,1.0,0,158.88888888888886
"[0.0, 0.5228884005347499, 0.5]",148035.5,268.34528884711784,21,1.0,1.0,0,202.2222222222222
"[0.11511529137325553, 0.41970708263555334, 0.5]",156207.5,267.5334603174603,21,1.0,1.0,0,224.44444444444443
"[0.2606388441222375, 0.3638448705827701, 0.5]",149539.4,267.29353111946534,21,1.0,1.0,0,227.22222222222226
"[0.313048230940545, 0.3007677276589805, 0.5]",170258.7,266.5976478696742,21,1.0,1.0,0,182.2222222222222
"[0.4210737614048234, 0.23658493352635387, 0.5]",177927.4,266.0926589390142,21,1.0,1.0,0,169.44444444444443
"[0.34573477540748143, 0.2495427442131193, 0.5]",166723.7,266.4429751461989,21,1.0,1.0,0,170.0
"[0.46224017978443105, 0.1365673106385807, 0.5]",181001.6,264.2953037802841,21,1.0,1.0,0,182.22222222222223
"[0.5930824797092823, 0.07934337626673803, 0.5]",178422.5,265.11745478279033,21,1.0,1.0,0,184.44444444444443
"[0.4273126946585207, 0.14874333015566915, 0.5]",178370.3,265.4015229741019,21,1.0,1.0,0,159.44444444444443
"[0.5450502324587183, 0.10229744652631212, 0.5]",169219.3,266.3083688387636,21,1.0,1.0,0,168.88888888888889
"[0.5538895094566182, 0.08175194664001637, 0.5]",180196.3,265.2954115497076,21,1.0,1.0,0,180.55555555555557
"[0.7152718025868673, 0.0, 0.5]",187897.1,264.7220649540518,21,1.0,1.0,0,167.2222222222222
"[0.0, 0.6377131877983895, 0.5]",133495.9,269.36011027568924,21,1.0,1.0,0,202.2222222222222
"[0.5891834732255883, 0.09198628279740814, 0.5]",181851.6,265.09707915622386,21,1.0,1.0,0,192.22222222222223
"[0.4254301025282926, 0.24526858342187854, 0.5]",169346.8,266.64714139515456,21,1.0,1.0,0,259.44444444444446
"[0.5060663970006819, 0.15703734610524045, 0.5]",175799.4,265.83053853383456,21,1.0,1.0,0,201.66666666666666
"[0.3443408325762837, 0.34926948338323077, 0.5]",154195.8,267.9962534461153,21,1.0,1.0,0,181.66666666666669
"[0.18078115557609067, 0.4253587771517921, 0.5]",160869.1,267.5779277360067,21,1.0,1.0,0,192.77777777777777
"[0.12400104328961913, 0.5397537801508353, 0.5]",148494.8,268.0012569966583,21,1.0,1.0,0,203.33333333333331
"[0.2963095096523566, 0.42162035996518843, 0.5]",154540.3,267.0526177944862,21,1.0,1.0,0,227.77777777777774
"[0.06692005557633718, 0.5542557102984744, 0.5]",133430.3,269.3971938178781,21,1.0,1.0,0,195.55555555555554
