fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[1.0, 0.052764359070455236, 0.0]",27752.800000000003,278.59530137844615,7,1.0,0.6250000000000001,0,620.5555555555551
"[0.0, 0.7306551250572837, 0.0]",6505.600000000001,280.91243055555555,4,1.0,0.5000000000000001,0,558.8888888888886
"[0.6911664715305854, 0.0, 0.1875]",27344.2,278.522830304929,8,1.0,0.7500000000000001,0,564.9999999999997
"[0.3281246327533121, 0.4126192830991068, 0.4375]",14881.900000000001,279.5030250626566,11,1.0,0.8750000000000001,0,568.8888888888886
"[0.9644070996978854, 0.0, 0.07142857142857142]",27139.9,278.6529072681704,8,1.0,0.7500000000000001,0,579.4444444444441
"[0.023529411764706003, 0.6626789696485864, 0.09090909090909091]",10795.900000000001,279.9520643274854,8,1.0,0.7500000000000001,0,619.444444444444
"[0.2588235294117648, 0.46081938280161133, 0.36363636363636365]",14881.900000000001,279.5030250626566,11,1.0,0.8750000000000001,0,568.8888888888886
"[0.5760338345864662, 0.14071232104988934, 0.375]",18763.600000000002,279.32431276106934,11,1.0,0.8750000000000001,0,588.8888888888886
"[0.7411764705882352, 0.16085237510801106, 0.0]",23258.2,278.83574456975765,7,1.0,0.6250000000000001,0,619.9999999999995
"[0.13571414336674703, 0.6323063390807567, 0.1875]",10591.6,280.4633912907268,8,1.0,0.75,0,546.1111111111109
"[0.3790661260250166, 0.39503086038956325, 0.2857142857142857]",18763.6,279.20681276106944,11,1.0,0.8750000000000001,0,564.9999999999998
"[0.272196759752718, 0.4723964081532422, 0.125]",14677.600000000002,279.77147702589815,7,1.0,0.6250000000000001,0,619.9999999999995
"[0.3671148215137894, 0.33509233913576997, 0.4117647058823529]",18967.9,279.5311107978279,11,1.0,0.875,0,533.3333333333331
"[0.6459107663361144, 0.15712959526548564, 0.17647058823529413]",23258.2,278.71036956975775,7,1.0,0.6250000000000001,0,641.6666666666662
"[0.6320000000000001, 0.1806614060980396, 0.125]",22645.300000000003,279.42210045948207,7,1.0,0.6250000000000001,0,606.1111111111106
"[0.48818542921834235, 0.27877157421160925, 0.25]",18967.9,279.181860797828,8,1.0,0.7500000000000001,0,618.3333333333329
"[0.17591747464136262, 0.5650323800412685, 0.1875]",10591.600000000002,280.7228912907269,8,1.0,0.7500000000000001,0,575.5555555555553
"[0.48192771084337366, 0.2969492511683335, 0.2857142857142857]",18763.600000000002,279.32431276106934,11,1.0,0.8750000000000001,0,588.8888888888886
"[0.21264685118476542, 0.5037510432812908, 0.07142857142857142]",15086.2,279.48057309941527,8,1.0,0.7500000000000001,0,594.9999999999995
"[0.39755715656282237, 0.42172679249980244, 0.21428571428571427]",19172.2,279.27403383458653,10,1.0,0.7500000000000001,0,640.555555555555
"[0.0, 0.6878000234194488, 0.07142857142857142]",10795.900000000001,280.0569393274854,8,1.0,0.7500000000000001,0,600.5555555555552
"[0.6078458520146348, 0.09465761768302848, 0.4117647058823529]",27139.9,278.7997822681705,11,1.0,0.8750000000000001,0,543.8888888888886
"[0.20792079207920794, 0.5460561250780943, 0.23529411764705882]",10795.900000000001,279.9520643274854,8,1.0,0.7500000000000001,0,621.1111111111107
"[0.6138641277771558, 0.08345432828207971, 0.23529411764705882]",27344.2,278.765705304929,8,1.0,0.75,0,521.1111111111109
"[0.1941558206469598, 0.6192795682759826, 0.0]",14677.600000000002,279.77147702589815,7,1.0,0.6250000000000001,0,619.9999999999995
"[0.5277524239240877, 0.2239524378993367, 0.1875]",18763.600000000002,279.94106276106936,8,1.0,0.7500000000000001,0,623.8888888888885
"[0.4942586385951662, 0.2467139990696731, 0.07142857142857142]",19172.2,279.15653383458647,8,1.0,0.7500000000000001,0,508.33333333333314
"[0.4059405940594059, 0.4514994434143421, 0.17647058823529413]",14881.900000000001,279.7509000626566,7,1.0,0.6250000000000001,0,564.4444444444441
"[0.4801823893950907, 0.2891704992411273, 0.4375]",18763.6,279.20681276106944,11,1.0,0.8750000000000001,0,564.9999999999998
"[0.7112502360271905, 0.0953375995486719, 0.07142857142857142]",22849.600000000002,278.84752349624057,8,1.0,0.7500000000000001,0,567.2222222222218
"[0.723305324773414, 0.2215039107371836, 0.0]",23053.9,279.10507153299915,7,1.0,0.625,0,568.8888888888887
"[0.44270927385277703, 0.41958791210164376, 0.17647058823529413]",18763.600000000002,279.57793776106934,7,1.0,0.6250000000000001,0,625.5555555555551
