fitness,energy,latency,cost,qos,resource_utilization,missed_deadlines,completion_time
"[0.1262123798026891, 0.7409342927863256, 0.5]",153313.7,269.5994607351713,21,1.0,1.0,0,181.1111111111111
"[1.0, 0.0, 0.5]",205791.2,264.22421804511276,21,1.0,1.0,0,180.55555555555554
"[0.0, 1.0, 0.5]",145733.7,271.47890006265663,21,1.0,1.0,0,181.11111111111111
"[0.3097448278732881, 0.642400641938443, 0.5]",164336.2,268.8846304302422,21,1.0,1.0,0,228.88888888888889
"[0.8887732589601631, 0.09861161162091227, 0.5]",199111.2,264.93961393066,21,1.0,1.0,0,157.77777777777777
"[0.4588003163634849, 0.6374695078877401, 0.5]",173288.1,268.8488566207185,21,1.0,1.0,0,199.44444444444443
"[0.015035590892061775, 0.6823363214217942, 0.5]",146636.7,269.1743510860485,21,1.0,1.0,0,185.55555555555554
"[0.19481829913000023, 0.6608968353410436, 0.5]",157434.0,269.0188144319131,21,1.0,1.0,0,203.33333333333334
"[0.046283977854555756, 0.9445822264839624, 0.5]",148513.4,271.0768617376775,21,1.0,1.0,0,238.88888888888889
"[0.33499729425966746, 0.6702324651776508, 0.5]",165852.8,269.08654145781117,21,1.0,1.0,0,215.55555555555554
"[0.5525338217541521, 0.6202001170707091, 0.5]",178917.5,268.72357268170424,21,1.0,1.0,0,201.1111111111111
"[0.8126312284061105, 0.11823452244384461, 0.5]",194538.3,265.081971908939,21,1.0,1.0,0,189.44444444444443
"[0.3943037921991424, 0.7462202232058905, 0.5]",169414.6,269.6378084795321,21,1.0,1.0,0,172.22222222222223
"[0.5984081921491903, 0.48395954935621743, 0.5]",181672.6,267.73519068504595,21,1.0,1.0,0,171.11111111111111
"[0.5149664904466549, 0.4541061583612757, 0.5]",176661.3,267.51861382623224,21,1.0,1.0,0,166.66666666666666
"[0.5562968821546016, 0.2951445451893646, 0.5]",179143.5,266.3653978696742,21,1.0,1.0,0,234.99999999999997
"[0.664469883028764, 0.08703265190349604, 0.5]",185640.1,264.8556122598162,21,1.0,0.9999999999999999,0,216.66666666666666
"[0.4299229904674683, 0.4700336767220361, 0.5]",171553.8,267.63416290726815,21,1.0,1.0,0,171.66666666666669
"[0.1430479124172664, 0.588636094556803, 0.5]",154324.8,268.49458573517126,21,1.0,1.0,0,201.66666666666666
"[0.691310827124006, 0.18204594777074773, 0.5]",187252.1,265.54490350877194,21,1.0,1.0,0,181.66666666666669
"[0.5634966490446652, 0.6815254919564442, 0.5]",179575.9,269.1684687761069,21,1.0,1.0,0,203.88888888888889
"[0.97295924738792, 0.26818623959248783, 0.5]",204167.2,266.1698239348371,21,1.0,1.0,0,192.77777777777777
"[0.6638987636848017, 0.13355185668921746, 0.5]",185605.8,265.1930942982456,21,1.0,1.0,0,190.55555555555557
"[0.25547849977105264, 0.6437143730890841, 0.5]",161077.1,268.89416113199667,21,1.0,0.9999999999999999,0,195.00000000000006
"[0.5143337634766678, 0.2572741928321483, 0.5]",176623.3,266.09066050543026,21,1.0,1.0,0,172.22222222222217
"[0.42129459268201297, 0.48440993979703995, 0.5]",171035.6,267.73845812447786,21,1.0,1.0,0,192.22222222222223
"[0.24533488739957512, 0.8308922873893752, 0.5]",160467.9,270.25207738095236,21,1.0,1.0,0,178.33333333333331
"[0.5276793073304745, 0.5730742404348547, 0.5]",177424.8,268.3816894319131,21,1.0,1.0,0,202.22222222222223
"[0.7948033134912375, 0.13874851223538068, 0.5]",193467.6,265.23079438178775,21,1.0,1.0,0,182.22222222222223
"[0.33880864171835323, 0.7133965497895651, 0.5]",166081.7,269.39968316624896,21,1.0,1.0,0,178.88888888888889
"[0.39154809973775123, 0.4919050274838422, 0.5]",169249.1,267.7928326023392,21,1.0,1.0,0,189.44444444444446
"[0.4078491445697872, 0.5194538110848944, 0.5]",170228.1,267.992690267335,21,1.0,1.0,0,205.0
